Samp,Herbarium,CatalogNumber,State,K3Q2S1964_LD,K3Q1S1964_LD,K3Q3S1964_LD,MaxK3_LD,PC_LD1,PC_LD2,PC_LD3,PC_LD4,PC_LD5,PC_LD6,PC_LD7,PC_LD8,PC_LD9,PC_LD10,Directory,File,Country,RANGE,Year,TimeBin,PCOASamp,PcoaGroups,PcoaGroupRegion,,Region,PcoaYR,N_S,SampleN,lat,lon,H_C,N_S,Heterozygosity,K2Q1S1964,K2Q2S1964,K3Q1S1964,K3Q2S1964,K3Q3S1964,K4Q1S1964,K4Q2S1964,K4Q3S1964,K4Q4S1964,MaxK3,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,NREAD,COVERAGE,AC_COVERAGE,AC_COUNT,AC_2_COVERAGE,AC_2_COUNT,LI_COVERAGE,LI_COUNT,Region,stdAC,stdLI,geno_Hb7a1,geno_Hb7a2,geno_Hb7b,geno_Hb9,geno_Hb13,PC1_TE,PC2_TE,PC3_TE,PC4_TE,PC5_TE
MO_3179229,MO,3179229,MO,0.766286546,0.21118594,0.022527513,0.766286546,0.03042203,-0.01554315,-0.005454963,0.005795975,-0.011527933,0.010375299,-0.0103156,-0.011601736,0.012413397,-0.007575256,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,MO_3179229_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam,USA,NAM,1956,1918-1957,1956_MO_3179229,1918-1957,1918-1957_NA,1956_NA,Middle,1956_Middle,M,107,39.49546503,-92.00073525,H,NA,0.001368707,0.105386326,0.894613674,0.20719418,0.772633171,0.020172649,0.762047765,0.006366426,0.03393387,0.19765194,0.773,0.030819727,-0.0161188,-0.006088822,0.005969594,-0.009355625,-0.016488909,0.006239642,0.011510951,-0.012149516,-0.004969506,6117547,0,20.0842,14,31.81,16,7.13728,6,Middle,2.29E-06,9.81E-07,0,0,0,0.5,0.5,-119.4194383,19.02383382,-25.53866111,-7.286337234,-7.139765773
MO_3525612,MO,3525612,MO,0.545299699,0.338495882,0.116204418,0.545299699,0.022706577,0.000600012,-0.004988315,0.004395514,-0.027903089,0.00581758,-0.024542009,-0.01534001,0.015369869,-0.001307812,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,MO_3525612_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam,USA,NAM,1986,1958-1997,1986_MO_3525612,1958-1997,1958-1997_NA,1986_NA,Middle,1986_Middle,M,282,38.44086709,-91.50793343,H,NA,0.002816198,0.211237499,0.788762501,0.338722519,0.545257999,0.116019482,0.532184502,0.068644752,0.088620274,0.310550472,0.545,0.022528771,0.000489801,-0.005032017,0.002135741,-0.024690555,-0.031399743,-0.005567281,0.013135182,-0.013369873,-0.006191849,15824332,0,33.2532,14,3.60794,2,9.89841,10,Middle,8.85E-07,6.32E-07,0,0,0,0,0,22.16288495,13.4679061,1.612620503,-0.496994877,2.683774464
MO_3896053,MO,3896053,MO,0.910769359,0.000000001,0.08923064,0.910769359,0.025320614,-0.040792033,0.020616913,0.013497144,0.013601769,0.042089968,-0.002618282,-0.014151489,-0.05633803,0.076437554,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,MO_3896053_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam,USA,NAM,1989,1958-1997,1989_MO_3896053,1958-1997,1958-1997_NA,1989_NA,Middle,1989_Middle,M,271,37.50230058,-94.34711077,H,NA,0.002970852,0.21918623,0.78081377,1.00E-09,0.910592273,0.089407726,0.910783729,3.19E-05,0.089184407,1.00E-09,0.911,0.025144021,-0.041897107,0.021604668,0.015217644,0.020278481,-0.012281975,0.044467373,-0.008765414,0.088133022,0.087556453,16089868,0,0,0,0,0,7.21542,6,Middle,0,3.73E-07,0,0,1,0,0,27.33880693,8.526544586,2.186546559,-6.906881593,-4.56218058
MO_5439107,MO,5439107,KY,1.00E-09,0.999999998,1.00E-09,0.999999998,0.043073148,0.062404114,-0.028253093,-0.011279591,0.010906516,0.028032875,-0.00865819,-0.008153575,0.01191753,-0.006878694,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,MO_5439107_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam,USA,NAM,1942,1918-1957,1942_MO_5439107,1918-1957,1918-1957_NA,1942_NA,Middle,1942_Middle,M,98,38.19625586,-83.42107541,H,NA,0.002111127,1.00E-09,0.999999999,0.999999998,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999997,1,0.043597074,0.06232554,-0.02847649,-0.010487926,0.013100299,-0.018654873,0.022612273,0.002659059,-0.004937209,-0.002085183,17873293,0,40.2285,40,17.3782,14,45.689,88,Middle,2.24E-06,4.92E-06,0,0,0.5,0,0,-41.71037247,40.09951379,-10.04243819,1.663538051,8.094809423
MO_5439112,MO,5439112,KY,0.656670007,0.272300315,0.071029679,0.656670007,0.026829353,-0.005817697,-0.011805646,0.012887474,-0.03057853,0.009485728,-0.017459003,-0.012163866,0.016320467,-0.003445609,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,MO_5439112_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam,USA,NAM,1982,1958-1997,1982_MO_5439112,1958-1997,1958-1997_NA,1982_NA,Middle,1982_Middle,M,281,38.31817284,-83.04953383,H,NA,0.002825739,0.15850325,0.84149675,0.269991508,0.661844779,0.068163712,0.657427038,0.013304185,0.084405823,0.244862953,0.662,0.027130029,-0.006591224,-0.011337698,0.011291761,-0.026197273,-0.024672868,0.001703707,0.012735944,-0.019206197,-0.01158254,18920618,0,34.095,22,37.1016,27,1.32847,2,Middle,1.16E-06,1.06E-07,0,0,0,0,0.5,-1.169555712,26.69093781,-2.176596638,0.272909447,7.985635653
MO_5452217,MO,5452217,MO,0.395834339,0.313977228,0.290188433,0.395834339,0.007046727,0.005470879,0.042411932,-0.002157157,-0.031343388,0.015171447,0.000669288,-0.027838326,-0.022618812,0.019270978,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,MO_5452217_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam,USA,NAM,2013,1998-Present,2013_MO_5452217,1998-Present,1998-Present_NA,2013_NA,Middle,2013_Middle,M,386,39.00847567,-94.34610078,H,NA,0.003341342,0.396628267,0.603371733,0.319662549,0.392611309,0.287726142,0.420640272,0.077046007,0.302570401,0.19974332,0.393,0.007165803,0.005977282,0.043237293,-0.001984714,-0.029178992,-0.013397788,0.012205306,0.02999357,0.013026824,-0.010482823,18262504,0,57.2459,30,36.1996,18,65.8244,64,Middle,1.64E-06,3.50E-06,0,0,0,0,0,93.85180188,-27.76059548,-19.68250419,1.836528851,0.934718204
MO_5457783,MO,5457783,IL,0.668118442,0.210283092,0.121598466,0.668118442,0.022518511,-0.014395155,0.005341038,0.009621386,0.005083866,0.010588219,-0.008332391,-0.003021382,-0.009702906,-0.009376461,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,MO_5457783_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam,USA,NAM,2001,1998-Present,2001_MO_5457783,1998-Present,1998-Present_NA,2001_NA,Middle,2001_Middle,M,385,38.82971226,-89.90499843,H,NA,0.003096719,0.23066406,0.76933594,0.21027639,0.669174917,0.120548693,0.666660845,0.053796455,0.105908759,0.173633941,0.669,0.022277175,-0.014407322,0.006658488,0.008529697,0.008818343,-0.011805436,0.002018437,-0.005128619,0.002682635,-0.021797938,21893313,0,1.14251,2,0,0,15.4728,14,Middle,9.14E-08,6.39E-07,0,0,0,0,0,86.36462605,-9.779802098,-10.20500715,1.568248169,6.423921988
MO_6598648,MO,6598648,MO,0.602153985,0.130574356,0.267271659,0.602153985,0.009438378,-0.017903701,0.05303584,-0.006011262,-0.010950536,0.02382747,0.015813738,-0.017602291,-0.040028737,0.018043426,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,MO_6598648_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam,USA,NAM,2011,1998-Present,2011_MO_6598648,1998-Present,1998-Present_NA,2011_NA,Middle,2011_Middle,M,389,39.89317625,-94.40470949,H,NA,0.003547469,0.387667142,0.612332858,0.133564438,0.59809531,0.268340251,0.619021027,0.099624187,0.231723245,0.049631541,0.598,0.009260078,-0.017400847,0.053060718,-0.005691414,-0.011081187,-0.00490308,0.025152626,0.006912512,0.026310422,-0.023230623,18305703,0,73.6019,39,69.5731,17,11.4613,6,Middle,2.13E-06,3.28E-07,0,0,0,0,0.5,88.36464731,-20.03061377,-10.64773297,1.020579392,-2.608895183
MO_6848343,MO,6848343,MO,0.475929246,0.305204333,0.218866421,0.475929246,0.014267852,0.001083785,0.043924392,-0.019259191,0.02352131,0.042152014,0.014907666,-0.005381686,-0.035520575,0.004159961,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,MO_6848343_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam,USA,NAM,2013,1998-Present,2013_MO_6848343,1998-Present,1998-Present_NA,2013_NA,Middle,2013_Middle,M,387,39.49546503,-92.00073525,H,NA,0.003584445,0.322294195,0.677705805,0.299332227,0.480649946,0.220017827,0.488232699,0.085924563,0.197732495,0.228110243,0.481,0.01405899,0.000198712,0.043915799,-0.019220249,0.023926867,-0.005118128,0.042101757,-0.005812357,0.013294324,-0.030357053,19947147,0,70.7156,26,39.2063,18,13.0763,11,Middle,1.30E-06,5.51E-07,0,0,0,0,0.5,90.71619283,-15.26339596,-9.342754921,1.489249427,-0.361875897
MU_1912368,MU,1912368,IL,0.177905561,0.643466912,0.178627527,0.643466912,0.015856753,0.03722897,-0.012497776,0.024874048,-0.118626929,-0.039274904,0.020123918,0.001344924,0.02548564,-0.01280602,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,MU_1912368_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam,USA,NAM,1964,1958-1997,1964_MU_1912368,1958-1997,1958-1997_NA,1964_NA,Middle,1964_Middle,M,286,38.47032103,-89.92839902,H,NA,0.003013792,0.249164037,0.750835963,0.647138353,0.16841458,0.184447067,0.184216301,0.003570715,0.292134256,0.520078728,0.647,0.015464573,0.037996001,-0.01408133,0.023190696,-0.117848146,0.014416903,-0.027910275,0.013752241,-0.02454763,-0.006358724,20444069,0,28.0818,16,50.2706,24,45.7411,52,Middle,7.83E-07,2.54E-06,0,0.5,0,0.5,0.5,24.60623514,18.58507614,1.036376567,-2.220380493,-0.900119075
