Samp,Directory,File,State,Country,RANGE,Year,TimeBin,PCOASamp,PcoaGroups,PcoaGroupRegion,PcoaYR,SampleN,lat,lon,H_C,N_S,Heterozygosity,K2Q1S1964,K2Q2S1964,K3Q1S1964,K3Q2S1964,K3Q3S1964,K4Q1S1964,K4Q2S1964,K4Q3S1964,K4Q4S1964,MaxK3,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,NREAD,COVERAGE,AC_COVERAGE,AC_COUNT,AC_2_COVERAGE,AC_2_COUNT,LI_COVERAGE,LI_COUNT,Region,stdAC,stdLI,geno_Hb7a1,geno_Hb7a2,geno_Hb7b,geno_Hb9,geno_Hb13,PC1_TE,PC2_TE,PC3_TE,PC4_TE,PC5_TE
TRHS364,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS364_CKDL230021747-1A_225YNKLT3_L7_C1.bam,NA,USA,NAM,1931,1918-1957,1931_TRHS364,1918-1957,1918-1957_South,1931_South,61,29.239919,-89.988715,H,S,0.003106484,0.291238977,0.708761023,0.06260668,0.776141935,0.161251384,0.744322823,0.158135081,0.032114243,0.065427853,7.76E-01,0.016086481,-0.028583419,-0.006077269,0.002054342,-0.025647199,0.054208855,-0.002799435,-0.015999285,-0.033332554,-0.017229963,20053921,0,7.87733,6,9.26037,4,3.90727,4,South,2.99E-07,1.99E-07,0,0.5,0,0,0,46.50449783,8.67162757,-0.468455584,-0.739864923,-4.82140232
TRHS357,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS357_CKDL230021747-1A_225YNKLT3_L7_C1.bam,NA,USA,NAM,1976,1958-1997,1976_TRHS357,1958-1997,1958-1997_South,1976_South,181,29.317538,-91.284992,H,S,0.002607336,0.051894328,0.948105672,0.990154864,1.12E-06,0.009844015,1.00E-09,1.00E-09,0.049974191,0.950025807,9.90E-01,0.034101661,0.066754142,-0.019573938,-0.034366381,0.027547453,0.045510503,0.003620892,-0.019407138,0.015231415,-0.023890143,18109554,0,63.0186,27,58.7492,28,76.7648,96,South,1.49E-06,5.30E-06,0,0.5,0,0,0,58.74686679,0.441691108,-2.094567387,-1.904169686,-5.8583611
TRHS56,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS56_CKDL230018650-1A_225KJTLT3_L2_C1.bam,LA,USA,NAM,1991,1958-1997,1991_TRHS56,1958-1997,1958-1997_South,1991_South,182,29.33744189,-90.83763991,H,S,0.00291841,0.067449887,0.932550113,0.999999985,1.00E-09,1.43E-08,1.00E-09,1.00E-09,0.057860767,0.942139231,1.00E+00,0.033117744,0.071820596,-0.016819099,-0.035039456,0.033022158,0.049389419,0.007702887,-0.013110121,0.017932258,-0.026394022,22656694,0,84.3656,44,73.6621,46,83.5634,134,South,1.94E-06,5.91E-06,0,0.5,0,0,0.5,93.16596427,-10.13309179,-11.11994793,2.97071936,-2.572229976
TRH4_71,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_71_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,LA,USA,NAM,1910,1878-1917,1910_TRH4_71,1878-1917,1878-1917_South,1910_South,11,29.33744189,-90.83763991,H,S,0.002564091,0.183003291,0.816996709,0.096329722,0.827054771,0.076615507,0.802921496,0.086905365,8.80E-06,0.110164342,8.27E-01,0.026079904,-0.02600275,-0.009547833,0.009922571,-0.005060383,-0.015458644,0.009089888,0.002606441,-0.00221509,-0.000439033,19918675,0,61.3349,40,57.3061,56,11.4353,16,South,2.01E-06,8.03E-07,0,0,0.5,0,0,-31.78607632,40.14415871,-6.354527917,1.650075891,1.527679378
TRH4_70,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_70_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,LA,USA,NAM,1992,1958-1997,1992_TRH4_70,1958-1997,1958-1997_South,1992_South,183,29.33744189,-90.83763991,H,S,0.00344861,0.13378422,0.86621578,0.810407816,0.099062008,0.090530176,0.077556523,0.047110192,0.093885819,0.781447465,8.10E-01,0.028075554,0.054078624,-0.013541552,-0.036241818,0.040809875,0.009622591,0.006339268,-0.001813163,-0.009412928,0.023681192,32233522,0,0,0,0,0,76.9732,117,South,0,3.63E-06,0,0,0,0,0.5,104.3080689,-3.63152138,-1.25526683,-1.882934271,0.872105032
TRH4_69,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_69_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,LA,USA,NAM,1936,1918-1957,1936_TRH4_69,1918-1957,1918-1957_South,1936_South,62,29.33744189,-90.83763991,H,S,0.003699555,0.234848306,0.765151694,0.040703415,0.841747244,0.117549341,0.804915827,0.136414138,1.00E-09,0.058670034,8.42E-01,0.022410894,-0.032512972,-0.024259936,0.011995456,-0.027147684,0.060036573,0.027432578,-0.021473081,-0.004078974,0.019510683,34860307,0,6.73482,2,1.26278,4,10.9924,16,South,5.74E-08,4.59E-07,0.5,0.5,0.5,0,0.5,80.12186243,11.54326399,4.939762596,-5.68197763,5.392016954
TRH4_40,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_40_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,LA,USA,NAM,1944,1918-1957,1944_TRH4_40,1918-1957,1918-1957_South,1944_South,63,29.33744189,-90.83763991,H,S,0.004426651,0.169299456,0.830700544,0.163606929,0.776070458,0.060322614,0.764598082,0.031718332,0.050654704,0.153028882,7.76E-01,0.028329567,-0.021656777,0.001325481,0.014236281,0.006566217,-0.003163097,-0.024552484,-0.024184239,-0.005080274,-0.027355827,30047983,0,65.4239,44,60.3728,50,38.4475,42,South,1.46E-06,1.40E-06,0,0,0,0,0,72.03873391,20.44139764,11.7202247,-8.171705256,8.066483416
TRHS428,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS428_CKDL230021747-1A_225YNKLT3_L7_C1.bam,NA,USA,NAM,1977,1958-1997,1977_TRHS428,1958-1997,1958-1997_South,1977_South,184,29.3735742,-95.5885562,H,S,0.003061922,1.00E-09,0.999999999,0.923617216,0.076382783,1.00E-09,0.056276873,1.00E-09,1.00E-09,0.943723125,9.24E-01,0.03933147,0.06086459,-0.033295621,-0.027051576,0.018009725,0.083438895,0.012274456,-0.033738775,0.012196709,-0.03405633,19794201,0,9.20024,5,12.748,8,75.3061,82,South,2.53E-07,4.14E-06,0,0.5,0,0,0,80.70198864,-3.940121778,-8.65589803,0.763632131,-2.928861739
TRH4_81,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_81_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,LA,USA,NAM,1975,1958-1997,1975_TRH4_81,1958-1997,1958-1997_South,1975_South,185,29.50033224,-90.40259453,H,S,0.003048135,0.197384068,0.802615932,0.236837874,0.66770011,0.095462016,0.651548536,0.067949752,0.057470959,0.223030754,6.68E-01,0.024698423,-0.012034686,-0.001447354,-0.000404582,0.004175708,-0.014354295,0.001973982,0.004650069,0.006083874,-0.015370805,23008366,0,0,0,0,0,7.73639,6,South,0,2.61E-07,0,0,0,0,0,31.59634957,20.93624074,2.159359634,-4.986397166,-2.563335627
TRHS352,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS352_CKDL230021747-1A_225YNKLT3_L7_C1.bam,NA,USA,NAM,1933,1918-1957,1933_TRHS352,1918-1957,1918-1957_South,1933_South,64,29.586481,-90.710909,H,S,0.001800584,1.00E-09,0.999999999,0.999999998,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999997,1.00E+00,0.043398136,0.06248467,-0.029814128,-0.013029085,0.00969329,-0.004594429,0.016210637,0.005946809,-0.016133428,-0.013975149,13005423,0,38.7252,17,37.2219,29,30.2683,58,South,1.31E-06,4.46E-06,0,0.5,0,0,0,-44.43525369,30.0322417,-6.707498839,-2.009229841,7.56939356
