TE,mean_UK,fdr_uk,mean_France,fdr_f,mean_Belgium,fdr_b,mean_spain,fdr_spain,mean_slope,fdr_time
AalpV_sc1,0.5,0.131260096,1.433333333,0.080808173,1.210526316,0.956019361,1.652173913,0.004721007,0.022676034,0.102372626
AC9_ZM,3.833333333,0.995065506,4.566666667,0.032265634,3.859649123,0.98140877,5.173913043,1.67E-06,0.013761029,0.332160789
Afa_HV,0.666666667,0.573278324,0.6,0.185565463,0.526315789,0.77316474,0.869565217,6.14E-06,0.030839187,0.032886704
ALBERT_TA,1.166666667,0.130103307,2.033333333,0.150883761,1.596491228,0.741725909,2.739130435,2.19E-11,0.020532806,0.149234245
Alfare1_I,139.8333333,0.116090454,156.4333333,0.117814689,148.7719298,0.860941729,169.0434783,1.04E-10,0.0085897,0.559973647
Alfare1_LTR,47.66666667,0.408583952,52.56666667,0.029286406,49.1754386,0.89234444,57.91304348,1.28E-12,0.021490906,0.115254522
Alfare2_LTR,143.8333333,0.130336612,190.7666667,0.044512086,159.0175439,0.682050621,262.3478261,2.69E-17,0.039661725,0.014308386
ALISEI_I,1.166666667,0.573278324,1.9,0.057196614,1.666666667,0.961715043,2.695652174,2.66E-11,0.020053893,0.152829772
AlyrV,0.666666667,0.444399506,1.266666667,0.291730453,1.280701754,0.585093754,1.608695652,0.002244395,0.037426074,0.014506542
ANGELA1_TM.int,0.833333333,0.879732539,1.2,0.091977289,0.98245614,0.882122393,1.695652174,2.96E-08,0.02456176,0.081423029
ARET1LTR,0.666666667,0.723000917,0.7,0.096054725,0.578947368,0.856590073,0.956521739,1.59E-10,0.007338571,0.623533893
Arnold1,1,0.841276757,1.266666667,0.253568583,0.964912281,0.648579159,1.869565217,2.80E-11,0.017370632,0.221718358
Arnold2,0.666666667,0.465892121,1.066666667,0.352964681,0.877192982,0.891842792,1.782608696,4.06E-07,0.011570088,0.420864317
Arnold3,2.166666667,0.509635161,3.1,0.019204865,2.385964912,0.798534668,3.173913043,0.000418586,0.023594708,0.095476701
Arnold4,0.333333333,0.917376183,0.3,0.913342647,0.315789474,0.919141584,0.391304348,0.324411903,0.005630259,0.706054178
ArnoldY1,0.833333333,0.97772565,1.066666667,0.266581826,0.789473684,0.968248044,2.260869565,2.15E-09,0.010355729,0.484362003
ArnoldY2,0.333333333,0.138465006,0.9,0.630013438,0.877192982,0.821093344,2.956521739,9.67E-10,0.01317783,0.36389422
ATCopia10_I,0.833333333,0.895396698,0.933333333,0.032004936,0.789473684,0.998425776,0.869565217,0.273630349,-0.002428502,0.874908149
ATCopia11I,0.333333333,0.105642412,1.466666667,0.941536962,1.280701754,0.758278386,2.869565217,0.00015443,-0.003456643,0.819560657
ATCopia12I,1,0.760268943,1.5,0.019137715,1.105263158,0.927712502,1.826086957,6.99E-09,0.033379305,0.019885275
ATCopia14I,0.833333333,0.798989705,1.233333333,0.123492744,0.947368421,0.942511753,1.739130435,1.65E-08,0.022741491,0.11519036
ATCopia15I,0.333333333,0.998176994,0.466666667,0.216394808,0.210526316,0.494444021,0.913043478,5.23E-10,0.019176585,0.185425452
ATCopia16I,0.666666667,0.89282315,0.633333333,0.833651526,0.50877193,0.648050736,0.913043478,3.66E-05,0.000919516,0.953628302
ATCopia17I,0.666666667,0.384820125,1.333333333,0.2764472,1.105263158,0.891842792,1.869565217,7.90E-08,0.039288933,0.014308386
ATCopia18A_I,2.166666667,0.771770612,2.366666667,0.130020948,1.877192982,0.816286422,2.913043478,0.000421049,0.012680186,0.386939391
ATCopia20I,3.166666667,0.737513175,3.566666667,0.03767091,2.561403509,0.583864388,5.173913043,9.97E-11,0.008730614,0.550834534
ATCopia22I,0.5,0.828079876,0.566666667,0.823349727,0.649122807,0.801582203,0.565217391,0.801261904,0.016649895,0.242793042
ATCopia24I,358.6666667,0.139289592,471.8666667,0.026411068,409.9649123,0.867146851,574.2173913,1.18E-12,0.032917467,0.019373727
ATCopia27_I,0.5,0.739642341,0.633333333,0.990488439,0.543859649,0.716479277,1.217391304,1.36E-05,0.020138954,0.160554864
ATCopia28_I,5.333333333,0.228124666,8.233333333,0.113657104,6.438596491,0.866952454,21.26086957,9.77E-11,0.022912992,0.08713631
ATCopia29_I,0.166666667,0.483147368,0.433333333,0.539449028,0.350877193,0.961101047,0.956521739,5.08E-14,-0.004751069,0.752281718
ATCopia2I,0.5,0.97533348,0.633333333,0.154585887,0.385964912,0.648050736,0.782608696,0.002226763,0.034021973,0.021238599
ATCopia30_I,NA,NA,0.933333333,0.611410378,0.877192982,0.867097633,NA,NA,0.027439603,0.054165539
ATCopia31_I,NA,NA,1.766666667,0.294257643,1.701754386,0.86161522,1.956521739,2.76E-07,0.019523489,0.184918253
ATCopia31A_I,0.666666667,0.815711807,0.833333333,0.358788439,0.736842105,0.93653315,0.826086957,0.408191051,0.012917602,0.386560285
ATCopia32B_I,1.166666667,0.895911297,1.233333333,0.342392473,1.140350877,0.884785858,1.47826087,0.008640661,0.020860792,0.146307012
ATCopia35_I,0.166666667,0.167463211,0.966666667,0.028978652,0.543859649,0.854479782,1.217391304,6.98E-06,-0.004209555,0.78444298
ATCopia35_LTR,0.5,0.934574668,0.666666667,0.055166345,0.438596491,0.942511753,0.869565217,6.61E-06,0.018511667,0.194249688
ATCopia36_I,0.5,0.648800235,0.8,0.171197333,0.614035088,0.763362735,0.826086957,0.08190072,0.011840553,0.412368895
ATCopia38_I,0.333333333,0.182491806,1.066666667,0.21801362,0.929824561,0.85751487,1.782608696,7.24E-11,0.008902717,0.549687772
ATCopia38A_I,0.833333333,0.974697852,0.933333333,0.603566209,1.070175439,0.549900849,1.347826087,0.000351793,0.009751833,0.506192449
ATCopia39_I,0.333333333,0.536121453,0.7,0.156586308,0.614035088,0.815574237,0.913043478,3.85E-06,0.024017558,0.093576869
ATCopia3I,1,0.276433275,2.266666667,0.033351849,1.754385965,0.926692885,3.260869565,3.07E-10,0.01134149,0.426333436
ATCopia42I,1.333333333,0.332256542,2.033333333,0.307820945,1.789473684,0.810771315,2.739130435,1.40E-09,0.020004275,0.159481953
ATCopia42LTR,0.333333333,0.416034326,0.666666667,0.687843201,0.719298246,0.641019828,NA,NA,0.008182723,0.581633805
ATCopia43I,NA,NA,0.233333333,0.557614784,0.070175439,0.250306009,0.739130435,3.21E-06,0.026032832,0.068426877
ATCopia45_I,0.666666667,0.855731384,0.633333333,0.713223948,0.614035088,0.948930461,0.826086957,0.008011721,0.039052823,0.014308386
ATCopia46_I,1.333333333,0.609954992,1.233333333,0.199118587,1.157894737,0.677249051,1.739130435,1.60E-06,0.010855142,0.454287882
ATCopia48_I,0.5,0.803321874,0.633333333,0.788751506,0.50877193,0.660151138,NA,NA,0.011705889,0.419359519
ATCopia50_I,0.333333333,0.454612106,0.733333333,0.172411454,0.526315789,0.72931001,0.826086957,0.010176697,0.023413833,0.098625185
ATCopia50LTR,0.333333333,0.913099661,0.3,0.897993813,0.245614035,0.856590073,0.782608696,7.22E-06,-0.009924744,0.493804059
ATCopia52_I,0.666666667,0.659008944,0.7,0.055656306,0.473684211,0.928280821,0.739130435,0.01665102,0.017483885,0.223809427
ATCopia52LTR,0.833333333,0.402840058,0.733333333,0.153628188,0.456140351,0.54673667,0.913043478,1.94E-05,0.025432452,0.076061767
ATCopia53_I,0.5,0.906470054,0.4,0.661098661,0.403508772,0.86161522,0.869565217,3.95E-06,0.019224111,0.173226982
ATCopia58_I,0.333333333,0.569516132,0.6,0.591698409,0.49122807,0.834845219,NA,NA,0.013036781,0.355877387
ATCopia59_I,22.83333333,0.137550108,38.03333333,0.032138071,28.03508772,0.426037487,56.30434783,1.04E-14,0.018661652,0.182867891
ATCopia5I,0.666666667,0.958486868,0.633333333,0.928565744,0.543859649,0.648050736,0.695652174,0.593298651,-0.00403902,0.792346948
ATCopia61_I,0.5,0.429693819,1.066666667,0.494015622,1.105263158,0.583864388,1.739130435,3.13E-07,0.009594161,0.508567627
ATCopia64_I,1,0.753228554,0.966666667,0.480069304,0.842105263,0.986619369,1.608695652,1.68E-06,0.034753362,0.018777333
ATCopia66_I,0.5,0.855822446,0.733333333,0.317794603,0.526315789,0.884785858,1.434782609,7.09E-06,0.016917421,0.235395034
ATCopia68_I,0.666666667,0.923665719,0.833333333,0.09738682,0.526315789,0.759996353,1,0.003746324,0.016683849,0.263566162
ATCopia68LTR,1,0.955308378,1.033333333,0.740507653,0.789473684,0.609672011,1.869565217,5.13E-13,0.023902243,0.096817976
ATCOPIA69A_I,0.166666667,0.866339427,0.166666667,0.509939108,0.245614035,0.919238402,0.826086957,9.04E-08,0.009778682,0.505241281
ATCopia6I,1.333333333,0.645460595,1.3,0.317258045,1.105263158,0.87275995,1.913043478,2.48E-13,0.038508154,0.014506542
ATCopia70_I,0.833333333,0.988972352,0.933333333,0.068606112,0.736842105,0.627856302,NA,NA,0.017986566,0.22423338
ATCopia71_I,6.333333333,0.171059884,9.466666667,0.011072962,7.771929825,0.7108875,11,6.11E-08,0.043361387,0.014308386
ATCopia73_I,0.833333333,0.947704006,0.8,0.910272941,0.894736842,0.564970926,0.913043478,0.100456949,0.025348535,0.074428972
ATCopia74_I,0.333333333,0.709702976,0.5,0.820522473,0.403508772,0.744742253,0.695652174,0.031144756,0.020977724,0.143376108
ATCopia75_I,0.333333333,0.913099661,0.366666667,0.44227964,0.315789474,0.909309894,0.782608696,7.22E-06,0.00243381,0.875378632
ATCopia77_I,0.5,0.253915117,1.033333333,0.614464362,0.877192982,0.789609823,1.608695652,1.27E-05,0.019543387,0.169182064
ATCopia78_I,47,0.71513844,48.8,0.042893886,47.36842105,0.942453618,52.04347826,1.09E-13,0.005318051,0.721629975
ATCopia78LTR,NA,NA,0.833333333,0.171197333,0.719298246,0.992503404,0.956521739,1.64E-05,0.01553393,0.278577299
ATCopia79_I,0.166666667,0.210508212,0.633333333,0.41763624,0.578947368,0.911911163,0.913043478,2.46E-06,0.008603756,0.555055634
ATCopia7I,0.666666667,0.59898582,0.533333333,0.576308819,0.438596491,0.897065415,0.913043478,9.72E-08,0.034039726,0.021238599
ATCopia80_I,2.5,0.905273201,3.166666667,0.019563195,2.228070175,0.677249051,3.739130435,3.92E-06,0.003053852,0.838305939
ATCopia82_I,0.5,0.653641142,0.4,0.460558154,0.298245614,0.935080033,0.869565217,5.72E-08,0.02545176,0.07453001
ATCopia83_I,1.166666667,0.576330505,2,0.100851537,1.543859649,0.866952454,2.652173913,6.33E-08,0.027479643,0.052338716
ATCopia84_I,0.166666667,0.454612106,0.3,0.426143076,0.421052632,0.870134908,0.826086957,9.58E-06,0.01286218,0.370695963
ATCopia84LTR,NA,NA,0.566666667,0.606163353,0.298245614,0.468453195,2.391304348,7.52E-08,0.01208565,0.382321418
ATCopia85_I,1.5,0.428911359,1.366666667,0.323532173,1,0.564970926,1.869565217,5.41E-10,-0.001440204,0.927743571
ATCopia86LTR,0.166666667,0.276400912,0.566666667,0.630854694,0.333333333,0.584727072,1.130434783,0.000710002,0.013305385,0.35561986
ATCopia87_I,NA,NA,0.666666667,0.238849094,0.49122807,0.821093344,0.869565217,0.000139794,0.003789445,0.801975002
ATCopia88_I,0.166666667,0.368197605,0.6,0.098560417,0.421052632,0.996341805,0.826086957,3.78E-05,0.027193928,0.058696189
ATCopia89_I,0.333333333,0.70137111,0.5,0.847516354,0.526315789,0.854479782,0.956521739,8.37E-12,0.016781587,0.244189226
ATCopia8AI,0.5,0.929144989,0.533333333,0.499203643,0.49122807,0.909457899,0.869565217,6.14E-06,0.019330966,0.179258596
ATCopia90_I,0.333333333,0.981345495,0.566666667,0.040099931,0.315789474,0.98189722,0.869565217,6.10E-08,0.014072776,0.331595698
ATCopia92_I,2.166666667,0.566543388,2.133333333,0.184666917,2.035087719,0.652623157,2.913043478,1.78E-18,0.019011436,0.187804247
ATCopia94_I,1.166666667,0.948650851,1.433333333,0.122777315,1.070175439,0.669879128,1.565217391,0.015046777,0.011849661,0.400889972
ATCopia95_I,2.833333333,0.407111625,2.433333333,0.23052888,1.964912281,0.709403198,3.47826087,5.68E-09,0.045039648,0.014308386
ATCopia96_I,0.666666667,0.924962464,0.733333333,0.266798828,0.614035088,0.970231919,0.869565217,0.002426574,-0.014466957,0.319991331
ATCopia97_I,0.5,0.85564475,0.7,0.216776766,0.596491228,0.952543964,0.739130435,0.092939973,0.010241482,0.484761516
ATCopia9LTR,0.333333333,0.542678395,0.666666667,0.272687883,0.561403509,0.98615082,NA,NA,0.01393578,0.337426177
ATDNA1T9A,5.333333333,0.526623787,7.333333333,0.074618373,6.403508772,0.990413095,10.52173913,1.23E-13,0.03905646,0.014308386
ATDNA2T9A,0.166666667,0.720210993,0.266666667,0.940907284,0.298245614,0.930449296,0.782608696,5.10E-06,-0.003572399,0.815463083
ATDNA2T9B,0.166666667,0.289296507,0.5,0.806418991,0.438596491,0.897065415,0.695652174,0.029741258,0.015422226,0.28446674
ATDNAI27T9A,1.166666667,0.763242365,1.566666667,0.11403049,1.228070175,0.742743656,1.782608696,3.27E-05,0.021348991,0.140142112
ATDNAI27T9B,0.166666667,0.398101878,0.433333333,0.809132476,0.49122807,0.701549349,0.739130435,0.001433774,0.017029426,0.238531517
ATDNAI27T9C,1.5,0.488704995,2.4,0.097625123,2.315789474,0.548298053,3.043478261,9.32E-07,0.015015679,0.308465948
ATDNATA1,0.666666667,0.905372981,1.033333333,0.097761933,0.631578947,0.7010315,1.826086957,3.04E-13,0.027808233,0.050567643
ATENSAT1,2.333333333,0.542499556,4.166666667,0.04792173,3.438596491,0.801582203,7.695652174,4.19E-14,0.027226033,0.051234381
ATENSPM1,1.166666667,0.253289634,2.266666667,0.034023704,1.894736842,0.792855473,2.608695652,2.46E-08,0.014058398,0.333596142
ATENSPM10,23.66666667,0.115150788,45.6,0.059964773,32.19298246,0.648050736,126.6956522,7.08E-12,0.035412597,0.014506542
ATENSPM11,2.166666667,0.768305787,2.533333333,0.53952808,2.385964912,0.954704163,4.434782609,2.96E-10,0.019011286,0.176604406
ATENSPM12,0.333333333,0.17212783,0.966666667,0.619552013,0.719298246,0.587377881,1.47826087,5.61E-05,0.006067531,0.680667872
ATENSPM1A,1,0.690650424,1.333333333,0.703164208,1.192982456,0.891554276,2.173913043,8.01E-05,0.011731313,0.426298641
ATENSPM2,5.5,0.304771265,8.3,0.235057624,6.807017544,0.723729413,20.17391304,8.90E-12,0.031978203,0.022689746
ATENSPM3,1.166666667,0.820662848,1.4,0.037334278,1,0.941514658,1.956521739,8.28E-23,0.009901471,0.494270622
ATENSPM4,0.833333333,0.620825218,0.866666667,0.180652153,0.947368421,0.703032298,2.043478261,1.07E-05,0.018655368,0.201998358
ATENSPM5,17.83333333,0.335086693,23.13333333,0.039060843,19.35087719,0.602041432,30,1.80E-15,0.012155129,0.396282553
ATENSPM6,1.666666667,0.644719693,2.1,0.456050565,1.859649123,0.891842792,3.434782609,8.40E-09,0.015451117,0.285071561
ATENSPM9,1,0.695939156,1.433333333,0.150574796,1.157894737,0.970974246,2.52173913,2.12E-08,0.034066949,0.019885275
ATGP1.LTR,0.666666667,0.75915597,0.733333333,0.063285959,0.596491228,0.849955621,0.869565217,0.00015067,0.033524136,0.021616646
ATGP11_I,0.666666667,0.477389075,0.5,0.407677119,0.298245614,0.585093754,0.869565217,1.08E-06,-0.014992826,0.29929699
ATGP11_LTR,1.666666667,0.655110584,1.966666667,0.069186722,1.263157895,0.583864388,2.869565217,5.17E-09,0.007637956,0.603249653
ATGP2.I,4.5,0.507584623,6.166666667,0.035453426,5.01754386,0.922358885,8.217391304,7.35E-18,0.03630696,0.016172198
ATGP3A_I,2,0.447520775,3.166666667,0.125725978,2.789473684,0.955745966,4.260869565,2.98E-08,0.042750207,0.014308386
ATGP3B_I,NA,NA,0.333333333,0.311009889,0.263157895,0.88998055,0.652173913,0.000305616,0.040282202,0.014308386
ATGP3I,0.666666667,0.516711044,1.4,0.023154998,0.859649123,0.926210334,1.652173913,1.48E-06,0.01323447,0.357606481
ATGP4_I,1.5,0.934900805,1.933333333,0.028188052,1.315789474,0.682050621,2.782608696,7.31E-15,0.02718812,0.057052266
ATGP5A_I,1.833333333,0.23924458,3.266666667,0.161102188,2.859649123,0.984319998,5.130434783,6.19E-11,0.033315108,0.021077059
ATGP5I,0.666666667,0.97772565,0.7,0.646474527,0.543859649,0.600422626,0.782608696,0.151109041,-0.002020057,0.895227377
ATGP6I,0.833333333,0.511594399,1.266666667,0.489443572,1.140350877,0.918591304,1.782608696,3.30E-07,0.014990855,0.291042982
ATGP6LTR,1.833333333,0.659841608,1.966666667,0.065728589,1.49122807,0.820729652,2.739130435,1.19E-12,0.00829695,0.565873019
ATGP7I,0.5,0.427357669,0.866666667,0.384501057,0.754385965,0.818918645,0.956521739,0.001935741,-0.002380724,0.876589595
ATGP7LTR,0.333333333,0.88348696,0.433333333,0.719723382,0.263157895,0.514943761,0.826086957,1.51E-05,0.033658341,0.021907321
ATGP8I,0.5,0.61708909,0.766666667,0.676153394,0.807017544,0.715141155,1.52173913,1.26E-05,0.019043663,0.176148277
ATHAT1,17.66666667,0.465690263,22.03333333,0.034818789,18.80701754,0.801662397,26.56521739,2.36E-15,0.028194611,0.042921098
ATHAT10,1.166666667,0.86922126,1.633333333,0.059059522,1.210526316,0.903310681,2.434782609,9.68E-10,0.024847187,0.081423029
ATHAT2,NA,NA,0.633333333,0.12928554,0.50877193,0.893690941,0.826086957,0.000196342,0.009703291,0.502384377
ATHAT3,0.833333333,0.169068252,1.266666667,0.982237069,1.298245614,0.950447658,1.782608696,4.56E-06,0.021553983,0.121457258
ATHAT8,1.166666667,0.920529862,1.3,0.677657535,1.140350877,0.77316474,1.782608696,2.72E-05,0.01002381,0.499978446
ATHATN1,9.833333333,0.121260101,13.23333333,0.086522621,11.42105263,0.833188511,18.26086957,9.63E-13,0.029261049,0.042367068
ATHATN10,0.166666667,0.275926488,0.633333333,0.148969911,0.49122807,0.981514383,0.869565217,1.38E-05,0.020193712,0.157075553
ATHATN2,NA,NA,0.7,0.092305055,0.526315789,0.991463865,0.869565217,7.69E-05,0.034447371,0.020470475
ATHATN3A,0.333333333,0.865154535,0.433333333,0.779315681,0.315789474,0.674791779,0.913043478,6.05E-09,0.019193973,0.17909459
ATHATN6,2.166666667,0.493855176,2.566666667,0.576308819,2.719298246,0.992503404,5.130434783,7.05E-11,0.019247061,0.186326319
ATHILA.3_SBi.I,NA,NA,0.433333333,0.740177119,0.50877193,0.882122393,0.695652174,0.028405287,0.023462722,0.095176962
ATHILA.3_SBi.LTR,NA,NA,NA,NA,0.070175439,0.92116053,0.260869565,0.033188427,-0.016082356,0.267825271
ATHILA.6_SBi.LTR,NA,NA,0.566666667,0.422607951,0.403508772,0.72200496,0.869565217,1.28E-05,0.038674745,0.014506542
Athila_LTR,0.5,0.850988377,0.566666667,0.910701114,0.561403509,0.95649751,0.869565217,0.000458635,0.007215794,0.625864129
Athila2_LTR,0.5,0.81075397,0.666666667,0.517963254,0.614035088,0.966135276,0.826086957,0.009590869,-0.001442688,0.927743571
Athila3_I,2.833333333,0.574881463,4.033333333,0.089006494,3.49122807,0.94645016,6.130434783,2.49E-11,0.024736845,0.078760115
Athila4A_I,2.333333333,0.247541394,4.2,0.139651964,3.631578947,0.973429808,6.217391304,4.02E-13,0.020997583,0.129123111
Athila4C_I,1.333333333,0.882706936,1.266666667,0.822951573,1.210526316,0.95649751,1.869565217,2.30E-09,0.017009544,0.241401093
Athila5_LTR,0.666666667,0.97772565,0.933333333,0.000584602,0.596491228,0.805517948,0.739130435,0.363961825,0.010681457,0.469596848
Athila6A_I,0.166666667,0.364074689,0.5,0.489315203,0.280701754,0.468453195,0.739130435,0.00235477,0.009625989,0.51266006
Athila6B_I,0.5,0.91108757,0.7,0.134347083,0.403508772,0.494444021,0.913043478,2.69E-06,0.010688727,0.468391478
ATHILA6C_I,1.166666667,0.870198532,1.233333333,0.316657957,1.175438596,0.750375828,1.391304348,0.039714179,0.011721051,0.413734766
ATHILA6C_LTR,0.333333333,0.293150024,0.866666667,0.053946515,0.736842105,0.94022343,0.869565217,0.041642778,-0.015643735,0.268362318
Athila7_I,15.16666667,0.096845793,33.66666667,0.085736101,24.57894737,0.685870851,87.65217391,9.82E-11,0.033825023,0.015907963
Athila7LTR,3.333333333,0.193344242,2.833333333,0.976851965,2.561403509,0.657437619,4.173913043,3.19E-07,0.023664365,0.088601645
Athila8A_I,1.166666667,0.22530285,2.166666667,0.670604495,1.736842105,0.587377881,4.043478261,5.51E-11,0.035067561,0.019526168
Athila8B_I,0.5,0.260292308,1.1,0.29571163,0.754385965,0.54954446,1.52173913,1.20E-05,0.004421369,0.770508327
Athila8BLTR,1.333333333,0.978594794,1.433333333,0.511801435,1.228070175,0.673281084,1.826086957,4.22E-06,0.024849184,0.080946228
ATHPOGO,3.833333333,0.979831689,4.3,0.188983355,3.614035088,0.744045363,6.173913043,2.73E-13,0.036600101,0.014308386
ATHPOGON1,0.166666667,0.201615627,0.766666667,0.177252532,0.49122807,0.824374339,1.47826087,2.78E-06,0.019627985,0.172090765
ATIS112A,0.666666667,0.424110331,1.6,0.076025173,1.070175439,0.93067306,3.043478261,3.01E-08,0.010180614,0.475204746
ATLANTYS.I_OS,2.5,0.697673539,3.5,0.028839174,2.614035088,0.723384061,4.826086957,2.95E-18,0.036873339,0.014506542
ATLANTYS.LTR_OS,0.5,0.964397674,0.566666667,0.680990158,0.438596491,0.707314011,0.913043478,7.74E-07,0.001938095,0.900890327
ATLANTYS_LC_I,4.833333333,0.137064002,8.466666667,0.040232634,6.912280702,0.948163668,14.26086957,1.10E-11,0.034640411,0.015798114
Atlantys1_I,0.666666667,0.918034036,0.633333333,0.923620393,0.561403509,0.796973438,NA,NA,0.020254525,0.162502892
Atlantys3_I,1,0.432235812,1.6,0.126831029,1.263157895,0.835175008,2.565217391,3.27E-07,0.024676336,0.081968325
ATLINE1_1,2.666666667,0.732658229,3.533333333,0.032004936,2.771929825,0.801662397,4.043478261,8.57E-07,0.018482221,0.196953759
ATLINE1_10,1.166666667,0.664669127,1.666666667,0.125350704,1.245614035,0.622341193,2.173913043,6.59E-06,0.005133936,0.732989585
ATLINE1_10A,12,0.768011908,13.13333333,0.059253471,11.57894737,0.98189722,16.39130435,2.16E-09,0.021628118,0.113472414
ATLINE1_11,2.5,0.97533348,2.7,0.50617814,2.403508772,0.86684604,4.173913043,6.54E-07,0.009320608,0.519498032
ATLINE1_12,0.166666667,0.585876155,0.5,0.10907546,0.385964912,0.79546709,0.347826087,0.82765538,-0.004073312,0.79227531
ATLINE1_2,2.333333333,0.613138582,2.266666667,0.066712052,1.754385965,0.781834638,4.391304348,1.04E-09,0.004671895,0.748475943
ATLINE1_5,0.5,0.48607995,1.066666667,0.307696093,0.877192982,0.948471552,1.347826087,0.002934489,0.001147628,0.942325767
ATLINE1_8,0.833333333,0.647340972,1.166666667,0.600835706,1.087719298,0.991463865,1.217391304,0.287947362,0.036937934,0.015152015
ATLINE1_9,0.333333333,0.140558631,1.3,0.087421707,0.98245614,0.992204741,1.739130435,4.40E-07,0.026662187,0.061719499
ATLINE2,0.5,0.617362143,0.833333333,0.389875585,0.807017544,0.750473498,1.652173913,2.62E-08,0.02206383,0.119968876
ATLINEIII,6.833333333,0.461316133,9.233333333,0.11530669,8.385964912,0.903310681,14.69565217,1.74E-12,0.016889102,0.239618763
ATMU1,NA,NA,0.866666667,0.067883643,0.649122807,0.711716973,0.956521739,2.11E-05,0.00934903,0.520037202
ATMU10,0.333333333,0.727215299,0.7,0.037555832,0.421052632,0.860941729,0.782608696,0.001311844,0.015621387,0.282856704
ATMU12,1.333333333,0.806954043,1.633333333,0.262812834,1.421052632,0.990413095,2.347826087,1.99E-06,0.010052554,0.482138667
ATMU2,0.833333333,0.159629363,1.366666667,0.702941434,1.368421053,0.861726817,2,3.41E-05,0.028372317,0.046605202
ATMU3,2,0.386338675,2.733333333,0.613612111,2.50877193,0.979588306,5,1.16E-07,0.032824452,0.024010891
