"","Column","P_Range"
"1","AalpV_sc1",0.0104333990808094
"2","AC9_ZM",2.17449699300738e-20
"3","Afa_HV",0.0825878491986426
"4","ALBERT_TA",1.17990444448199e-23
"5","Alfare1_I",1.33632875635365e-94
"6","Alfare1_LTR",9.12795376510327e-51
"7","Alfare2_LTR",2.82463209948422e-63
"8","ALISEI_I",2.34726839145908e-09
"9","AlyrV",7.00929646224424e-06
"10","ANGELA1_TM.int",0.38454299623174
"11","ARET1LTR",3.22834716659973e-14
"12","Arnold1",0.00116779696755996
"13","Arnold2",8.87959406300235e-12
"14","Arnold3",2.42629610945748e-07
"15","Arnold4",0.00139927171522822
"16","ArnoldY1",1.6080828932686e-13
"17","ArnoldY2",6.32914174209415e-24
"18","ATCopia10_I",0.301824266518662
"19","ATCopia11I",0.0453038336578593
"20","ATCopia12I",1.80001083405655e-21
"21","ATCopia14I",6.17914219691416e-13
"22","ATCopia15I",0.000120973749457158
"23","ATCopia16I",9.06344389819981e-07
"24","ATCopia17I",5.66509197116309e-28
"25","ATCopia18A_I",0.0462036197498869
"26","ATCopia20I",8.26344576839651e-05
"27","ATCopia22I",0.100697344557533
"28","ATCopia24I",4.84570299397738e-11
"29","ATCopia27_I",2.43935165069134e-19
"30","ATCopia28_I",2.20582000211777e-66
"31","ATCopia29_I",6.30934720340086e-21
"32","ATCopia2I",1.43357442858216e-05
"33","ATCopia30_I",0.236263704345826
"34","ATCopia31_I",1.99692492606103e-13
"35","ATCopia31A_I",0.211776280007423
"36","ATCopia32B_I",9.82176789324871e-17
"37","ATCopia35_I",1.49507010738722e-10
"38","ATCopia35_LTR",1.53810505968029e-07
"39","ATCopia36_I",0.00297348107863371
"40","ATCopia38_I",1.98440186075965e-51
"41","ATCopia38A_I",9.95039641316843e-11
"42","ATCopia39_I",0.753242367913843
"43","ATCopia3I",9.54202326337158e-17
"44","ATCopia42I",1.87249125628129e-22
"45","ATCopia42LTR",0.000163966219912671
"46","ATCopia43I",4.78254090153589e-12
"47","ATCopia45_I",9.5026907293565e-09
"48","ATCopia46_I",1.94123388903445e-19
"49","ATCopia48_I",1.00677745004607e-08
"50","ATCopia50_I",0.0017494820347715
"51","ATCopia50LTR",2.38636961299164e-35
"52","ATCopia52_I",0.00753274978867687
"53","ATCopia52LTR",0.423239057852969
"54","ATCopia53_I",1.61335804769283e-18
"55","ATCopia58_I",3.20161275969071e-08
"56","ATCopia59_I",2.47595131696826e-83
"57","ATCopia5I",0.026901971827566
"58","ATCopia61_I",5.15008888015736e-11
"59","ATCopia64_I",1.37437033462125e-06
"60","ATCopia66_I",4.85540495196441e-07
"61","ATCopia68_I",0.000137368313773617
"62","ATCopia68LTR",6.71569740969989e-27
"63","ATCOPIA69A_I",8.49163653953913e-12
"64","ATCopia6I",1.08381123921805e-18
"65","ATCopia70_I",1.34762943552386e-06
"66","ATCopia71_I",6.79082948449487e-31
"67","ATCopia73_I",0.019926279853258
"68","ATCopia74_I",5.19788798341261e-09
"69","ATCopia75_I",1.18179065315565e-12
"70","ATCopia77_I",0.0221931024434756
"71","ATCopia78_I",7.73640493242732e-91
"72","ATCopia78LTR",1.30811467728184e-12
"73","ATCopia79_I",3.00034206144866e-09
"74","ATCopia7I",0.00021758667665631
"75","ATCopia80_I",1.43762309820598e-11
"76","ATCopia82_I",0.719417766125928
"77","ATCopia83_I",1.10843760643023e-11
"78","ATCopia84_I",6.87212713831813e-09
"79","ATCopia84LTR",2.6667904433319e-14
"80","ATCopia85_I",1.03692145999155e-07
"81","ATCopia86LTR",0.0117974060078812
"82","ATCopia87_I",2.85094464847208e-12
"83","ATCopia88_I",7.75438715835535e-08
"84","ATCopia89_I",7.64685742175214e-07
"85","ATCopia8AI",1.30020986347624e-24
"86","ATCopia90_I",0.000344559831372654
"87","ATCopia92_I",1.20873473615176e-17
"88","ATCopia94_I",4.29479833437775e-12
"89","ATCopia95_I",5.33832193510095e-11
"90","ATCopia96_I",0.0438298897751433
"91","ATCopia97_I",1.72148422159627e-09
"92","ATCopia9LTR",8.57628187238546e-17
"93","ATDNA1T9A",2.17856037458868e-53
"94","ATDNA2T9A",5.89260047168519e-35
"95","ATDNA2T9B",0.016914603801655
"96","ATDNAI27T9A",2.07931161955851e-10
"97","ATDNAI27T9B",2.64899568955524e-15
"98","ATDNAI27T9C",7.17887279599644e-08
"99","ATDNATA1",9.01701933063927e-14
"100","ATENSAT1",1.84467622156574e-56
"101","ATENSPM1",8.5618593553569e-23
"102","ATENSPM10",1.9071789200858e-82
"103","ATENSPM11",3.00913505555463e-35
"104","ATENSPM12",0.098532684457778
"105","ATENSPM1A",3.77714284977453e-28
"106","ATENSPM2",2.73387598733762e-74
"107","ATENSPM3",1.52025878941804e-16
"108","ATENSPM4",0.185375143900505
"109","ATENSPM5",5.84807992393171e-13
"110","ATENSPM6",1.14098469315138e-17
"111","ATENSPM9",0.254550309926807
"112","ATGP1.LTR",0.000129952317378958
"113","ATGP11_I",1.0340328940757e-05
"114","ATGP11_LTR",1.52208191597086e-28
"115","ATGP2.I",3.17725661956707e-92
"116","ATGP3A_I",6.22877867314131e-12
"117","ATGP3B_I",6.71639333710771e-55
"118","ATGP3I",1.83689117618332e-08
"119","ATGP4_I",7.62693782614528e-05
"120","ATGP5A_I",1.37306389070118e-32
"121","ATGP5I",0.504854401467385
"122","ATGP6I",0.0206347292424273
"123","ATGP6LTR",4.36530937914804e-25
"124","ATGP7I",0.000405427778114535
"125","ATGP7LTR",1.15509696474158e-06
"126","ATGP8I",0.463919131625092
"127","ATHAT1",1.1879247197465e-22
"128","ATHAT10",2.11761918154358e-14
"129","ATHAT2",0.0430797961910005
"130","ATHAT3",0.672286565709272
"131","ATHAT8",7.12596909265791e-06
"132","ATHATN1",2.17921906761617e-98
"133","ATHATN10",3.49653329086975e-07
"134","ATHATN2",3.31307205123619e-10
"135","ATHATN3A",1.97294231738225e-08
"136","ATHATN6",5.32870858579045e-44
"137","ATHILA.3_SBi.I",3.89116009722373e-11
"138","ATHILA.3_SBi.LTR",2.47682364046833e-46
"139","ATHILA.6_SBi.LTR",7.61131434124854e-20
"140","Athila_LTR",0.00517468387719901
"141","Athila2_LTR",0.213217664860683
"142","Athila3_I",8.59000061171164e-21
"143","Athila4A_I",1.11380746003828e-27
"144","Athila4C_I",0.0311651140058012
"145","Athila5_LTR",0.000412242696682342
"146","Athila6A_I",0.0261526111876302
"147","Athila6B_I",3.855975912202e-06
"148","ATHILA6C_I",4.91366937704564e-12
"149","ATHILA6C_LTR",0.00582812017668816
"150","Athila7_I",1.14762169898186e-66
"151","Athila7LTR",0.222621481554842
"152","Athila8A_I",4.4380031601619e-65
"153","Athila8B_I",5.16669214894907e-14
"154","Athila8BLTR",6.50949173288286e-12
"155","ATHPOGO",6.16892904420865e-34
"156","ATHPOGON1",2.01229383482841e-10
"157","ATIS112A",2.8202893306822e-11
"158","ATLANTYS.I_OS",1.65179462220674e-23
"159","ATLANTYS.LTR_OS",8.90692064143163e-15
"160","ATLANTYS_LC_I",2.08120687106347e-31
"161","Atlantys1_I",4.88449184136669e-05
"162","Atlantys3_I",1.71745653278335e-14
"163","ATLINE1_1",6.65444981384806e-16
"164","ATLINE1_10",2.75974528137091e-08
"165","ATLINE1_10A",1.61697931641317e-17
"166","ATLINE1_11",2.0062893502452e-25
"167","ATLINE1_12",9.88928107906418e-29
"168","ATLINE1_2",2.07081688085731e-20
"169","ATLINE1_5",0.000612230468279501
"170","ATLINE1_8",0.383243505277822
"171","ATLINE1_9",4.2034496379903e-05
"172","ATLINE2",8.27402638606326e-11
"173","ATLINEIII",7.13321927297396e-112
"174","ATMU1",9.08690988830172e-07
"175","ATMU10",0.880928918633018
"176","ATMU12",0.00057118252477363
"177","ATMU2",4.04694595322313e-07
"178","ATMU3",4.6301572802772e-17
"179","ATMU3N1",0.571473040800724
"180","ATMU4",2.52726591161215e-05
"181","ATMU5",0.0249608184177978
"182","ATMU8",0.0248333171430129
"183","ATMU9",7.12160567274609e-33
"184","ATRE1_I",5.94059056496985e-21
"185","ATREP10",0.179507744716261
"186","ATREP10D",7.29748097494524e-10
"187","ATREP17",1.33235421164401e-70
"188","ATREP18",2.25077803006351e-54
"189","ATREP4",0.00163535794231421
"190","ATREP5",0.739596693199436
"191","ATREPX1",1.54644344843656e-41
"192","AtrichBV_sc1",1.62648132386604e-06
"193","ATSAB5",5.95861782909526e-15
"194","AtSB2",0.137486829923749
"195","ATTIRTA1",0.00179222297339279
"196","ATTIRX1A",3.95233744574099e-18
"197","Au",2.14595124388413e-77
"198","BAGY1_HV.int",1.79132680241557e-09
"199","BAGY1_HV.LTR",1.548182446491e-34
"200","BAGY2_HV.LTR",4.94685719943877e-10
"201","BARBARA_TM.int",5.69403357526921e-55
"202","BARE1_HV.int",0.00112861420469302
"203","BARE1A_HV.int",2.31240785124714e-16
"204","BARE1A_HV.LTR",7.62384345852506e-20
"205","BNR1",2.66149622902733e-70
"206","BrapV",4.27737669072885e-28
"207","BRENSPM1",0.00166717862910197
"208","BRODYAGA1A",2.34765361807618e-29
"209","BvL1",9.89304169811041e-13
"210","BvL1.2",3.53505111745522e-20
"211","CACTA.I",8.51459619590547e-30
"212","CACTA.P",3.41827947031997e-17
"213","CACTA.Q",1.79266396045656e-23
"214","CACTA_LP",3.10269255326815e-11
"215","CACTAN1_ZM",1.41085792084598e-41
"216","CALYPSHAN2_I_MT",1.93851753705808e-38
"217","CAREP",0.705856936557682
"218","CAREP1",6.68606842774262e-59
"219","Cassandra_AT.LTR",1.14128662736824e-22
"220","Cassandra_DT.LTR",1.66647137147317e-42
"221","Cassandra_MT.LTR",2.95267741669566e-79
"222","Cassandra_OS.LTR",6.44289004409915e-19
"223","Cassandra_SBi.LTR",5.90326101092792e-20
"224","Cassandra_ZM.LTR",3.64200645403568e-16
"225","Caulimovirus.1_ADu",3.06760667495759e-11
"226","Caulimovirus.1_AIp",2.84076090905402e-12
"227","Caulimovirus.1_ALy",2.41576560733554e-12
"228","Caulimovirus.1_ATr",4.79498403699392e-14
"229","Caulimovirus.1_BD",4.09349884280615e-08
"230","Caulimovirus.1_CC",1.62837759234528e-100
"231","Caulimovirus.1_ECa",0.00556359350470131
"232","Caulimovirus.1_FV",2.07682758048255e-06
"233","Caulimovirus.1_GM",6.94059491608613e-76
"234","Caulimovirus.1_GR",7.93031169632537e-21
"235","Caulimovirus.1_NS",1.04615641337282e-07
"236","Caulimovirus.1_OS",0.00172982184367702
"237","Caulimovirus.1_PD",2.57574928991838e-19
"238","Caulimovirus.1_PTr",2.14714444265553e-07
"239","Caulimovirus.1_TC",0.00181405625194466
"240","Caulimovirus.10_ATr",0.0428922291224961
"241","Caulimovirus.11_ATr",4.09650681857408e-06
"242","Caulimovirus.12_ATr",9.97292194181104e-09
"243","Caulimovirus.13_ATr",1.19145382286987e-08
"244","Caulimovirus.14_ATr",0.00012075260719083
"245","Caulimovirus.16_ATr",0.0173753504688047
"246","Caulimovirus.17_ATr",0.23215875524405
"247","Caulimovirus.18_ATr",6.19952900359943e-13
"248","Caulimovirus.19_ATr",0.197700225506468
"249","Caulimovirus.1B_JC",4.2060202106753e-10
"250","Caulimovirus.2_ADu",4.53802201512365e-66
"251","Caulimovirus.2_ATr",4.23533687038519e-11
"252","Caulimovirus.2_ECa",4.62671971058774e-09
"253","Caulimovirus.2_FV",2.30063111799894e-05
"254","Caulimovirus.2_GM",1.67535577708124e-115
"255","Caulimovirus.2_JC",4.36383474450418e-21
"256","Caulimovirus.2_NS",4.85066447790591e-11
"257","Caulimovirus.2_OS",1.69144793253437e-14
"258","Caulimovirus.2_PTr",9.95940879056315e-53
"259","Caulimovirus.2_RC",6.4669539087091e-10
"260","Caulimovirus.2_STu",4.25521032187494e-07
"261","Caulimovirus.2_TC",6.29795135363269e-36
"262","Caulimovirus.2_VVi",5.0158788621841e-07
"263","Caulimovirus.21_ATr",3.32679268126215e-05
"264","Caulimovirus.22_ATr",2.18771143054004e-10
"265","Caulimovirus.24_ATr",3.97193983139391e-50
"266","Caulimovirus.25_ATr",0.617027975740355
"267","Caulimovirus.26_ATr",0.0010294574447508
"268","Caulimovirus.27_ATr",3.50491910961078e-06
"269","Caulimovirus.2B_OS",0.0111267951680909
"270","Caulimovirus.3_ADu",2.32937913808172e-09
"271","Caulimovirus.3_ATr",2.18533289432699e-13
"272","Caulimovirus.3_GMa",0.713799581473897
"273","Caulimovirus.3_JC",8.21763796014026e-23
"274","Caulimovirus.3_NS",2.09089751387655e-12
"275","Caulimovirus.3_STu",0.000101105914131872
