"sample_row_id","predicted_country","actual_country","range","PC_LD1.x","PC_LD2.x","Samp","Herbarium","CatalogNumber","State","K3Q2S1964_LD","K3Q1S1964_LD","K3Q3S1964_LD","MaxK3_LD","PC_LD1.y","PC_LD2.y","PC_LD3","PC_LD4","PC_LD5","PC_LD6","PC_LD7","PC_LD8","PC_LD9","PC_LD10","Directory","File","Country","RANGE","Year","TimeBin","PCOASamp","PcoaGroups","PcoaGroupRegion","X","Region","PcoaYR","N_S","SampleN","lat","lon","H_C","N_S.1","Heterozygosity","K2Q1S1964","K2Q2S1964","K3Q1S1964","K3Q2S1964","K3Q3S1964","K4Q1S1964","K4Q2S1964","K4Q3S1964","K4Q4S1964","MaxK3","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","NREAD","COVERAGE","AC_COVERAGE","AC_COUNT","AC_2_COVERAGE","AC_2_COUNT","LI_COVERAGE","LI_COUNT","Region.1","stdAC","stdLI","geno_Hb7a1","geno_Hb7a2","geno_Hb7b","geno_Hb9","geno_Hb13","PC1_TE","PC2_TE","PC3_TE","PC4_TE","PC5_TE"
486,"UK","USA","NAM",0.0164648277173277,-0.00560522328474225,"BHSC_6830792","BHSC","6830792","MN",0.258956706,0.366461046,0.374582247,0.374582247,-0.001375312,0.015663647,0.054018067,-0.008597719,-0.004683179,-0.015005675,0.003013475,-0.04116354,0.019451217,0.025054342,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","BHSC_6830792_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",2011,"1998-Present","2011_BHSC_6830792","1998-Present","1998-Present_North","2011_North","North","2011_North","N",414,47.52317095,-91.4088486,"H","N",0.003701435,0.482243804,0.517756196,0.365120656,0.260825338,0.374054005,0.296339639,0.110267267,0.384840888,0.208552206,0.374,-0.001128925,0.015252158,0.05421162,-0.008970225,-0.001503166,0.009357095,0.004046233,0.050882091,0.010229229,0.075245519,19618407,0,91.0403,63,88.2141,45,92.4459,87,"North",3.21e-06,4.43e-06,0,0,0.5,0,1,84.45828714,-14.85895318,-3.657333957,0.814156403,-4.330482062
487,"Spain","USA","NAM",0.0798590869747285,0.0364629284458288,"GA_042908","GA","42908","GA",1e-09,0.977748805,0.022251194,0.977748805,0.031268496,0.068339982,-0.012295225,-0.034099753,0.045779306,0.01845654,-0.00198071,-0.004848831,-0.005154943,0.009215343,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","GA_042908_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",2003,"1998-Present","2003_GA_042908","1998-Present","1998-Present_South","2003_South","South","2003_South","S",371,31.21324181,-81.49369759,"H","S",0.002808109,0.070459916,0.929540084,0.976388626,1e-09,0.023611373,1e-09,1e-09,0.070270884,0.929729114,0.976,0.031402298,0.068003036,-0.011563363,-0.033869029,0.048182395,-0.006049075,0.014705916,0.001628467,0.003361609,-0.002072161,17309387,0,42.8142,23,19.2423,10,79.7083,104,"South",1.33e-06,6.01e-06,0,0,0,0,0,60.22415976,1.552377438,-8.328416898,-0.359413876,0.023451705
488,"Spain","USA","NAM",0.0502632678309428,0.03344554151181,"GA_042925","GA","42925","GA",0.199674104,0.713057689,0.087268208,0.713057689,0.026621237,0.042128171,-0.000860181,-0.014189982,0.028009622,0.025488675,0.000855598,-0.006391694,-0.0098978,0.006640036,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","GA_042925_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",1909,"1878-1917","1909_GA_042925","1878-1917","1878-1917_South","1909_South","South","1909_South","S",14,33.95116875,-83.36732908,"H","S",0.002518719,0.152439105,0.847560895,0.712226965,0.204678478,0.083094557,0.199152196,0.004297613,0.132110899,0.664439291,0.712,0.027211279,0.041583868,-0.001680367,-0.013079389,0.031085714,-0.006579715,0.026386841,-0.000964961,0.017231274,0.006973599,12233971,0,63.3193,14,53.9988,19,36.9628,35,"South",1.14e-06,2.86e-06,0,0,0.5,0,0,-15.8735648,10.53502597,-9.505228332,-0.054225052,-10.02516104
489,"Spain","USA","NAM",0.0742506532576168,0.0281586741005529,"GA_042926","GA","42926","GA",0.004127405,0.905792048,0.090080547,0.905792048,0.025350086,0.064149089,-0.000676492,-0.03097154,0.040957993,0.027479975,7.24e-05,-0.001694657,-0.022127626,0.015900112,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","GA_042926_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",1954,"1918-1957","1954_GA_042926","1918-1957","1918-1957_South","1954_South","South","1954_South","S",76,31.48380621,-81.37556637,"H","S",0.002828546,0.138605878,0.861394122,0.898455775,0.024190347,0.077353879,0.016460946,2.12e-09,0.137690736,0.845848316,0.898,0.026770881,0.062736002,-0.00129167,-0.028766525,0.04340912,-0.007643672,0.0291639,-0.00561537,0.034383341,0.017751381,12599742,0,83.5839,36,71.4372,26,41.4691,30,"South",2.86e-06,2.38e-06,0,0,0.5,0,0,1.430526699,11.05814277,3.067909145,-5.724496682,-14.80955379
490,"UK","USA","NAM",0.0174832545678055,0.0194043136871963,"GA_042931","GA","42931","GA",0.373348229,0.411853361,0.21479841,0.411853361,0.014855096,0.014013189,0.034190307,-0.017448525,-0.001132468,0.013580517,0.01727805,-0.012290368,-0.033328027,0.035133144,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","GA_042931_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",1995,"1958-1997","1995_GA_042931","1958-1997","1958-1997_South","1995_South","South","1995_South","S",245,33.77154687,-84.22643242,"H","S",0.004137834,0.308195006,0.691804994,0.415014256,0.36922141,0.215764334,0.379751489,0.06606406,0.22330708,0.330877371,0.415,0.014897709,0.014364319,0.03421547,-0.017570137,0.002031194,0.009486016,0.025329734,0.006943046,0.031073664,0.02344692,19115156,0,55.6224,14,47.0235,14,50.0912,43,"South",7.32e-07,2.25e-06,0.5,0,0.5,0,0.5,72.01455618,-1.406005495,0.415664109,-1.004827384,-7.666410197
491,"Spain","USA","NAM",0.0680116089600786,0.0153906323710037,"GA_042933","GA","42933","GA",0.003677555,0.809581562,0.186740883,0.809581562,0.016660816,0.059541605,0.016157479,-0.05535947,0.057800444,0.015211978,0.01107097,-0.016273088,-0.040027518,0.020647372,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","GA_042933_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",1992,"1958-1997","1992_GA_042933","1958-1997","1958-1997_South","1992_South","South","1992_South","S",227,32.01322434,-81.44247222,"H","S",0.003352025,0.25625804,0.74374196,0.805890746,0.002540062,0.191569191,1.67e-09,0.086704553,0.178680666,0.73461478,0.806,0.016453346,0.059290511,0.016559182,-0.055283335,0.056891311,0.001865431,0.018899657,0.004360047,0.031188789,-0.004462104,19980774,0,79.6152,35,87.1317,47,93.4879,127,"South",1.75e-06,6.36e-06,0,0,0,0.5,0,100.2413372,-20.41448038,-8.278891916,1.56570793,-4.383254198
492,"UK","USA","NAM",0.0164796431997496,-0.00640031084422887,"GA_042934","GA","42934","GA",0.256435689,0.370286269,0.373278042,0.373278042,-0.001849254,0.01573197,0.059070138,-0.017400012,-0.000564174,-0.004713108,0.002033278,-0.025145887,0.001584195,0.039506037,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","GA_042934_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",1995,"1958-1997","1995_GA_042934","1958-1997","1958-1997_South","1995_South","South","1995_South","S",253,34.88172462,-83.40207648,"H","S",0.003431388,0.47356797,0.52643203,0.368114608,0.266783466,0.365101927,0.292742413,0.128111958,0.347023835,0.232121794,0.368,-0.000903095,0.014859909,0.057615029,-0.018104229,0.00212171,0.001375575,0.010074541,0.023544459,0.044347649,0.091823483,19557570,0,83.0427,41,86.2297,39,88.4345,85,"South",2.1e-06,4.35e-06,0,0,1,0,0,88.59602843,-17.21080661,-7.277373794,1.125271504,-3.419972062
493,"France","USA","NAM",0.00938527962299947,0.0286634949499659,"GA_042936","GA","42936","GA",0.477816221,0.368559415,0.153624364,0.477816221,0.020107287,0.005805982,0.037497092,-0.022008281,0.043106435,0.028070774,0.017502888,-0.008285045,-0.082970267,0.060733878,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","GA_042936_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",1987,"1958-1997","1987_GA_042936","1958-1997","1958-1997_South","1987_South","South","1987_South","S",243,33.28785074,-83.95716951,"H","S",0.003348874,0.245466957,0.754533043,0.372810986,0.477121107,0.150067907,0.495497323,0.013608477,0.185327697,0.305566504,0.477,0.020608144,0.005885703,0.036396805,-0.020503464,0.046551705,0.008927303,0.043253279,-0.007758321,0.11028804,0.05424377,21185003,0,30.006,6,22.7901,12,68.8461,66,"South",2.83e-07,3.12e-06,0,0,1,0,0,86.9358958,-12.35930471,-3.909532076,-3.07768736,-2.571548506
494,"Spain","USA","NAM",0.0297991102264329,-0.00174884787141541,"GA_260302","GA","260302","GA",0.18239582,0.475248327,0.342355853,0.475248327,0.002076095,0.027184258,0.042343373,-0.013500618,-0.013063849,0.014118828,0.046881279,0.000359357,-0.043738865,-0.032283721,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","GA_260302_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",2016,"1998-Present","2016_GA_260302","1998-Present","1998-Present_South","2016_South","South","2016_South","S",381,34.35413701,-83.49738017,"H","S",0.003329793,0.438990925,0.561009075,0.483822377,0.177224096,0.338953527,0.201508642,0.094346965,0.354397555,0.349746839,0.484,0.002530759,0.027328312,0.040403903,-0.013529567,-0.022617178,0.040491817,0.025821578,-0.007270889,0.028725659,-0.048026771,13791105,0,1.14251,2,0,0,7.76244,4,"South",1.45e-07,2.9e-07,0,0.5,0,0,0,70.88550362,-30.63134555,-19.18358651,-3.770008473,-9.705767696
495,"Spain","USA","NAM",0.066023766181232,0.00706236111210846,"GA_42909","GA","42909","GA",1e-09,0.772775412,0.227224587,0.772775412,0.011051189,0.058820188,0.023201754,-0.023691472,0.009642279,0.016290508,-0.000383087,-0.012484911,-0.025023123,0.008315236,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","GA_42909_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",2007,"1998-Present","2007_GA_42909","1998-Present","1998-Present_NA","2007_NA","","2007_","S",NA,NA,NA,"H","S",0.003096401,0.303955497,0.696044503,0.774767548,1e-09,0.225232451,6.29e-08,0.051714725,0.284285156,0.664000056,0.775,0.011906959,0.058111374,0.02277635,-0.024071874,0.014701522,-0.011708875,0.014639772,0.002146199,0.022280546,-0.015105812,15788131,0,0,0,0,0,85.2566,100,NA,0,6.33e-06,0,0,0,0.5,0,84.56011806,-26.15984174,-16.07007337,1.040974813,-4.919240254
