"","Samp","PC_LD1","PC_LD2","Country","Year"
"58","Paris_11_10",0.001708878,-0.011330377,"France",2018
"59","Paris_11_12",-0.024723029,0.003096441,"France",2018
"60","Paris_11_14",0.003157117,-0.003856225,"France",2018
"61","Paris_11_6",-0.016101174,-0.000883185,"France",2018
"62","Paris_11_7",-0.013705014,-0.001365435,"France",2018
"63","Paris_11_8",-0.002871279,0.007357535,"France",2018
"64","Paris_11_9",-0.000760941,-0.007544681,"France",2018
"65","Paris_13_13",-0.008174093,0.006521475,"France",2018
"66","Paris_15_11",-0.013913274,0.01052053,"France",2018
"67","Paris_15_12",-0.01358569,0.010500502,"France",2018
"68","Paris_15_13",-0.017564532,0.00551908,"France",2018
"69","Paris_15_3",-0.001712043,0.004838473,"France",2018
"70","Paris_15_5",-0.012281519,0.007606595,"France",2018
"71","Paris_15_8",-0.002192232,0.004822772,"France",2018
"72","Paris_15_9",-0.009945024,0.002635582,"France",2018
"73","Paris_2_2",-0.013417147,-0.001728563,"France",2018
"74","Paris_23_19",-0.011031634,-0.001542858,"France",2018
"75","Paris_25_13",-0.013251761,-0.004755126,"France",2018
"76","Paris_25_2",0.005937446,0.00195001,"France",2018
"77","Paris_2_9",-0.018887904,-0.002699799,"France",2018
"78","Paris_3_3",-0.008897523,-0.00923167,"France",2018
"79","Paris_39_15",-0.000942626,-0.002271261,"France",2018
"80","Paris_39_19",-0.008511343,0.001678342,"France",2018
"81","Paris_39_1",-0.009349439,0.008782397,"France",2018
"82","Paris_39_2",-0.007967121,0.002117496,"France",2018
"83","Paris_39_5",-0.002403336,-0.000955774,"France",2018
"84","Paris_6_1",-0.013892777,0.001656238,"France",2018
"85","Paris_6_4",-0.013646069,-0.001556219,"France",2018
"86","Paris_8_10",-0.007997759,0.004014027,"France",2018
"87","Paris_8_8",-0.009827153,0.00617346,"France",2018
"408","cg_178",0.000204693,0.024756181,"Spain",2018
"409","cg_286",-0.007519186,0.061436032,"Spain",2018
"410","cg_301",-0.014125331,0.031322327,"Spain",2018
"411","cg_453",-0.010654487,0.060621573,"Spain",2018
"412","TRTGTO_56_3",-0.02399761,0.017318053,"Spain",2018
"413","TRTGTO_56_4",-0.004940925,0.063236724,"Spain",2018
"414","TRTGTO_56_5",-0.011238344,0.06354223,"Spain",2018
"415","TRTGTO_57_2",-0.015601294,0.038863036,"Spain",2018
"416","TRTGTO_57_3",-0.010219928,0.035756958,"Spain",2018
"417","TRTGTO_57_4",-0.01930402,0.032273926,"Spain",2018
"418","TRTGTO_57_5",-0.018990758,0.036937566,"Spain",2018
"419","TRTGTO_58_2",-0.012066386,0.047673742,"Spain",2018
"420","TRTGTO_58_5",-0.008861793,0.056468894,"Spain",2018
"421","TRTGTO_59_1",-0.016139075,0.031251075,"Spain",2018
"422","TRTGTO_59_2",-0.021189027,0.024429451,"Spain",2018
"423","TRTGTO_59_3",-0.018569856,0.041043833,"Spain",2018
"424","TRTGTO_59_5",-0.01324939,0.038480817,"Spain",2018
"425","TRTGTO_61_1",-0.00772895,0.027361197,"Spain",2018
"426","TRTGTO_61_4",-0.010322968,0.023277324,"Spain",2018
"427","TRTGTO_62_1",-0.006235245,0.030044627,"Spain",2018
"428","TRTGTO_62_3",-0.002268088,0.029240972,"Spain",2018
"429","TRTGTO_62_4",-0.000162598,0.033312722,"Spain",2018
"430","TRTGTO_62_5",-0.005133517,0.035980107,"Spain",2018
"480","Brighton_2_6",0.002151095,-0.021167032,"UK",2018
"481","Brighton_3_6",0.000756626,-0.033276344,"UK",2018
"482","Brighton_38_20",-0.004094094,0.015498581,"UK",2018
"483","Brighton_39_6",-0.000852135,-0.00053966,"UK",2018
"484","Brighton_40_1",-0.000855086,-0.033199474,"UK",2018
"485","Brighton_5_1",-0.000149509,-0.024386785,"UK",2018
"486","BHSC_6830792",-0.001375312,0.015663647,"Herbarium",2011
"487","GA_042908",0.031268496,0.068339982,"Herbarium",2003
"488","GA_042925",0.026621237,0.042128171,"Herbarium",1909
"489","GA_042926",0.025350086,0.064149089,"Herbarium",1954
"490","GA_042931",0.014855096,0.014013189,"Herbarium",1995
"491","GA_042933",0.016660816,0.059541605,"Herbarium",1992
"492","GA_042934",-0.001849254,0.01573197,"Herbarium",1995
"493","GA_042936",0.020107287,0.005805982,"Herbarium",1987
"494","GA_260302",0.002076095,0.027184258,"Herbarium",2016
"495","GA_42909",0.011051189,0.058820188,"Herbarium",2007
"496","LA_1",0.042704653,0.041744691,"Herbarium",1972
"497","LA_2",0.024570924,0.070616537,"Herbarium",1989
"498","LA_3",0.030463502,0.051893961,"Herbarium",1983
"499","MO_3179229",0.03042203,-0.01554315,"Herbarium",1956
"500","MO_3525612",0.022706577,0.000600012,"Herbarium",1986
"501","MO_3896053",0.025320614,-0.040792033,"Herbarium",1989
"502","MO_5439107",0.043073148,0.062404114,"Herbarium",1942
"503","MO_5439112",0.026829353,-0.005817697,"Herbarium",1982
"504","MO_5452217",0.007046727,0.005470879,"Herbarium",2013
"505","MO_5457783",0.022518511,-0.014395155,"Herbarium",2001
"506","MO_6598648",0.009438378,-0.017903701,"Herbarium",2011
"507","MO_6848343",0.014267852,0.001083785,"Herbarium",2013
"508","MU_04957659",0.018430346,-0.032969512,"Herbarium",1996
"509","MU_1827771",0.032198979,-0.037507586,"Herbarium",1965
"510","MU_1912368",0.015856753,0.03722897,"Herbarium",1964
"511","MU_3859086",0.03594669,0.039076489,"Herbarium",1989
"512","MU_4232901",0.028272214,-0.0001049,"Herbarium",1992
"513","MU_985453",0.028640614,-0.036675999,"Herbarium",1929
"514","NLU_6875802",-0.001943251,0.045354396,"Herbarium",2000
"515","TRH4_10",0.027610773,-0.041549363,"Herbarium",1971
"516","TRH4_11",0.035705005,-0.039729516,"Herbarium",1886
"517","TRH4_12",0.025326796,-0.040613037,"Herbarium",1875
"518","TRH4_13",0.035663032,-0.039228915,"Herbarium",NA
"519","TRH4_14",0.038498137,-0.034919602,"Herbarium",1869
"520","TRH4_15",0.021426085,-0.041751474,"Herbarium",1959
"521","TRH4_16",0.038420505,0.061728267,"Herbarium",1963
"522","TRH4_17",0.032007058,-0.03247839,"Herbarium",1949
"523","TRH4_18",0.029212487,-0.038700078,"Herbarium",1958
"524","TRH4_19",0.029206601,-0.037739345,"Herbarium",1945
"525","TRH4_1",-0.007481642,-0.031274151,"Herbarium",1967
"526","TRH4_20",0.033856546,-0.040089317,"Herbarium",1945
"527","TRH4_22",0.032821093,-0.038598903,"Herbarium",1952
"528","TRH4_23",0.028024826,-0.038568287,"Herbarium",1945
"529","TRH4_24",0.039353515,0.065572368,"Herbarium",1908
"530","TRH4_25",0.035150617,-0.034922336,"Herbarium",1961
"531","TRH4_26",0.024970471,-0.003911081,"Herbarium",1959
"532","TRH4_27",0.024183795,-0.035042467,"Herbarium",1939
"533","TRH4_28",0.018366614,-0.033697391,"Herbarium",1951
"534","TRH4_29",0.021255325,-0.039142398,"Herbarium",1946
"535","TRH4_30",0.028088107,-0.034840896,"Herbarium",1943
"536","TRH4_31",0.030390224,-0.045000783,"Herbarium",1938
"537","TRH4_32",0.013089023,0.03741571,"Herbarium",1987
"538","TRH4_33",0.026618777,-0.035011703,"Herbarium",1982
"539","TRH4_34",0.011935995,-0.024540008,"Herbarium",1951
"540","TRH4_35",0.009558491,-0.032637567,"Herbarium",1957
"541","TRH4_36",0.015415563,-0.024690587,"Herbarium",1973
"542","TRH4_37",0.01155738,-0.026244142,"Herbarium",1959
"543","TRH4_38",0.015826285,-0.027413636,"Herbarium",1979
"544","TRH4_39",0.03452221,-0.033403911,"Herbarium",1893
"545","TRH4_3",0.025929323,-0.039373198,"Herbarium",1899
