"","Samp","K3Q2S1964_LD","K3Q1S1964_LD","K3Q3S1964_LD","Country","Year","TimeBin","SampleN","lat","lon"
"1","Antwerp_1_10",0.41166024,2.29e-06,0.588337472,"Belgium",2018,"Contemp",NA,51.219,4.402
"2","Antwerp_1_11",0.3192861,0.089829,0.5908849,"Belgium",2018,"Contemp",NA,51.219,4.402
"3","Antwerp_1_13",0.592646242,0.028021175,0.379332584,"Belgium",2018,"Contemp",NA,51.219,4.402
"4","Antwerp_1_17",0.484240376,0.003597091,0.512162532,"Belgium",2018,"Contemp",NA,51.219,4.402
"5","Antwerp_1_2",0.299265487,0.223899751,0.476834761,"Belgium",2018,"Contemp",NA,51.219,4.402
"6","Antwerp_1_5",0.56463403,0.011921508,0.423444462,"Belgium",2018,"Contemp",NA,51.219,4.402
"7","Antwerp_1_7",0.516041041,0.007845048,0.476113911,"Belgium",2018,"Contemp",NA,51.219,4.402
"8","Antwerp_1_9",0.430068702,0.066849179,0.503082119,"Belgium",2018,"Contemp",NA,51.219,4.402
"9","Antwerp_2_11",0.535162099,0.001845362,0.462992539,"Belgium",2018,"Contemp",NA,51.219,4.402
"10","Antwerp_2_13",0.589389218,0.045502046,0.365108736,"Belgium",2018,"Contemp",NA,51.219,4.402
"11","Antwerp_2_3",0.297854626,0.169075603,0.533069771,"Belgium",2018,"Contemp",NA,51.219,4.402
"12","Antwerp_2_4",0.575871783,0.004869382,0.419258835,"Belgium",2018,"Contemp",NA,51.219,4.402
"13","Antwerp_2_6",0.598805298,4.77e-08,0.401194654,"Belgium",2018,"Contemp",NA,51.219,4.402
"14","Antwerp_2_7",0.475171672,5.65e-09,0.524828322,"Belgium",2018,"Contemp",NA,51.219,4.402
"15","Antwerp_2_9",0.506474875,1e-09,0.493525124,"Belgium",2018,"Contemp",NA,51.219,4.402
"16","Antwerp_3_10",0.552460743,0.005417544,0.442121713,"Belgium",2018,"Contemp",NA,51.219,4.402
"17","Antwerp_3_14",0.510490445,0.02777113,0.461738425,"Belgium",2018,"Contemp",NA,51.219,4.402
"18","Antwerp_3_15",0.497830869,0.004525402,0.497643729,"Belgium",2018,"Contemp",NA,51.219,4.402
"19","Antwerp_3_1",0.399967449,0.008668641,0.59136391,"Belgium",2018,"Contemp",NA,51.219,4.402
"20","Antwerp_3_5",0.520148028,0.013973002,0.46587897,"Belgium",2018,"Contemp",NA,51.219,4.402
"21","Antwerp_36_11",0.615264471,0.002586283,0.382149245,"Belgium",2018,"Contemp",NA,51.219,4.402
"22","Antwerp_36_12",0.561257744,1e-09,0.438742255,"Belgium",2018,"Contemp",NA,51.219,4.402
"23","Antwerp_36_13",0.589375173,0.060459177,0.35016565,"Belgium",2018,"Contemp",NA,51.219,4.402
"24","Antwerp_36_14",0.546894146,0.08526541,0.367840443,"Belgium",2018,"Contemp",NA,51.219,4.402
"25","Antwerp_36_4",0.453584487,0.109540819,0.436874693,"Belgium",2018,"Contemp",NA,51.219,4.402
"26","Antwerp_36_7",0.674297083,1e-09,0.325702916,"Belgium",2018,"Contemp",NA,51.219,4.402
"27","Antwerp_36_8",0.44911548,0.011190622,0.539693898,"Belgium",2018,"Contemp",NA,51.219,4.402
"28","Antwerp_37_11",0.435182523,0.013248906,0.551568571,"Belgium",2018,"Contemp",NA,51.219,4.402
"29","Antwerp_37_13",0.466888181,0.005049864,0.528061955,"Belgium",2018,"Contemp",NA,51.219,4.402
"30","Antwerp_37_17",0.668656071,0.001554538,0.329789391,"Belgium",2018,"Contemp",NA,51.219,4.402
"31","Antwerp_37_19",0.611629068,1.05e-05,0.388360419,"Belgium",2018,"Contemp",NA,51.219,4.402
"32","Antwerp_37_1",0.667563102,1e-09,0.332436897,"Belgium",2018,"Contemp",NA,51.219,4.402
"33","Antwerp_37_6",0.564296522,0.071817679,0.363885799,"Belgium",2018,"Contemp",NA,51.219,4.402
"34","Antwerp_37_9",0.638975793,0.017892581,0.343131626,"Belgium",2018,"Contemp",NA,51.219,4.402
"35","Antwerp_38_10",0.426490959,0.072492577,0.501016464,"Belgium",2018,"Contemp",NA,51.219,4.402
"36","Antwerp_38_12",0.56043454,0.014628294,0.424937167,"Belgium",2018,"Contemp",NA,51.219,4.402
"37","Antwerp_38_14",0.497525213,1e-09,0.502474786,"Belgium",2018,"Contemp",NA,51.219,4.402
"38","Antwerp_38_17",0.600538803,0.004792106,0.394669091,"Belgium",2018,"Contemp",NA,51.219,4.402
