"","Samp","PC_LD1","PC_LD2","Country","Year","TimeBin","Region","H_C"
"1","Antwerp_1_10",-0.020355815,-0.022329466,"Belgium",2018,"Contemp","","C"
"2","Antwerp_1_11",-0.021167703,-0.009698173,"Belgium",2018,"Contemp","","C"
"3","Antwerp_1_13",-0.002221528,-0.026587074,"Belgium",2018,"Contemp","","C"
"4","Antwerp_1_17",-0.013595847,-0.025408165,"Belgium",2018,"Contemp","","C"
"5","Antwerp_1_2",-0.010051324,0.001163286,"Belgium",2018,"Contemp","","C"
"6","Antwerp_1_5",-0.006500481,-0.028386335,"Belgium",2018,"Contemp","","C"
"7","Antwerp_1_7",-0.010322186,-0.025881382,"Belgium",2018,"Contemp","","C"
"8","Antwerp_1_9",-0.012797928,-0.016979414,"Belgium",2018,"Contemp","","C"
"9","Antwerp_2_11",-0.010249978,-0.027370302,"Belgium",2018,"Contemp","","C"
"10","Antwerp_2_13",-0.000957649,-0.024364828,"Belgium",2018,"Contemp","","C"
"11","Antwerp_2_3",-0.014865688,-0.001501224,"Belgium",2018,"Contemp","","C"
"12","Antwerp_2_4",-0.004943735,-0.028096755,"Belgium",2018,"Contemp","","C"
"13","Antwerp_2_6",-0.004938555,-0.030921532,"Belgium",2018,"Contemp","","C"
"14","Antwerp_2_7",-0.015200668,-0.026361449,"Belgium",2018,"Contemp","","C"
"15","Antwerp_2_9",-0.013051225,-0.026421004,"Belgium",2018,"Contemp","","C"
"16","Antwerp_3_10",-0.007291095,-0.02737323,"Belgium",2018,"Contemp","","C"
"17","Antwerp_3_14",-0.008830342,-0.023934729,"Belgium",2018,"Contemp","","C"
"18","Antwerp_3_15",-0.011647401,-0.024706117,"Belgium",2018,"Contemp","","C"
"19","Antwerp_3_1",-0.020405042,-0.020073057,"Belgium",2018,"Contemp","","C"
"20","Antwerp_3_5",-0.009222401,-0.025679156,"Belgium",2018,"Contemp","","C"
"21","Antwerp_36_11",-0.002536233,-0.032021046,"Belgium",2018,"Contemp","","C"
"22","Antwerp_36_12",-0.009169683,-0.032141852,"Belgium",2018,"Contemp","","C"
"23","Antwerp_36_13",0.000435958,-0.023792045,"Belgium",2018,"Contemp","","C"
"24","Antwerp_36_14",-0.00050425,-0.020040227,"Belgium",2018,"Contemp","","C"
"25","Antwerp_36_4",-0.00631371,-0.013193391,"Belgium",2018,"Contemp","","C"
"26","Antwerp_36_7",0.001287829,-0.035747607,"Belgium",2018,"Contemp","","C"
"27","Antwerp_36_8",-0.017073905,-0.021886267,"Belgium",2018,"Contemp","","C"
"28","Antwerp_37_11",-0.017751886,-0.022258314,"Belgium",2018,"Contemp","","C"
"29","Antwerp_37_13",-0.016440262,-0.024972358,"Belgium",2018,"Contemp","","C"
"30","Antwerp_37_17",0.002555541,-0.029828987,"Belgium",2018,"Contemp","","C"
"31","Antwerp_37_19",-0.00314912,-0.029323604,"Belgium",2018,"Contemp","","C"
"32","Antwerp_37_1",0.001648052,-0.031884318,"Belgium",2018,"Contemp","","C"
"33","Antwerp_37_6",-0.000637077,-0.021240854,"Belgium",2018,"Contemp","","C"
"34","Antwerp_37_9",0.000951007,-0.02893093,"Belgium",2018,"Contemp","","C"
"35","Antwerp_38_10",-0.013203578,-0.017737837,"Belgium",2018,"Contemp","","C"
"36","Antwerp_38_12",-0.00659443,-0.026352656,"Belgium",2018,"Contemp","","C"
"37","Antwerp_38_14",-0.01463648,-0.028710859,"Belgium",2018,"Contemp","","C"
"38","Antwerp_38_17",-0.004071148,-0.029960136,"Belgium",2018,"Contemp","","C"
"39","Antwerp_39_15",-0.005928936,0.004944124,"Belgium",2018,"Contemp","","C"
"40","Antwerp_39_4",-0.000183597,0.035868344,"Belgium",2018,"Contemp","","C"
"41","Antwerp_39_9",-0.005856603,0.033874253,"Belgium",2018,"Contemp","","C"
"42","Antwerp_40_1",-0.007662638,-0.020918817,"Belgium",2018,"Contemp","","C"
"43","Antwerp_40_5",-0.011459633,-0.027327743,"Belgium",2018,"Contemp","","C"
"44","Antwerp_40_6",-0.014942726,-0.024392043,"Belgium",2018,"Contemp","","C"
"45","Antwerp_40_7",-0.002837013,-0.028281334,"Belgium",2018,"Contemp","","C"
"46","Antwerp_4_10",-0.014537779,-0.027767724,"Belgium",2018,"Contemp","","C"
"47","Antwerp_4_11",-0.019732489,-0.024033921,"Belgium",2018,"Contemp","","C"
"48","Antwerp_4_15",-0.012806908,0.024368206,"Belgium",2018,"Contemp","","C"
"49","Antwerp_4_16",-0.009427933,0.001662905,"Belgium",2018,"Contemp","","C"
"50","Antwerp_4_3",-0.013354468,-0.024431402,"Belgium",2018,"Contemp","","C"
"51","Antwerp_5_10",-0.010118899,-0.034767739,"Belgium",2018,"Contemp","","C"
"52","Antwerp_5_18",-0.010138694,-0.031882724,"Belgium",2018,"Contemp","","C"
"53","Antwerp_5_4",-0.011959201,-0.032033291,"Belgium",2018,"Contemp","","C"
"54","Antwerp_5_5",-0.011876449,-0.028319232,"Belgium",2018,"Contemp","","C"
"55","Antwerp_5_6",-0.008548095,-0.030903333,"Belgium",2018,"Contemp","","C"
"56","Antwerp_5_8",-0.01017262,-0.023266673,"Belgium",2018,"Contemp","","C"
"57","Antwerp_5_9",-0.013405692,-0.030566974,"Belgium",2018,"Contemp","","C"
"58","Paris_11_10",0.001708878,-0.011330377,"France",2018,"Contemp","","C"
"59","Paris_11_12",-0.024723029,0.003096441,"France",2018,"Contemp","","C"
"60","Paris_11_14",0.003157117,-0.003856225,"France",2018,"Contemp","","C"
"61","Paris_11_6",-0.016101174,-0.000883185,"France",2018,"Contemp","","C"
"62","Paris_11_7",-0.013705014,-0.001365435,"France",2018,"Contemp","","C"
"63","Paris_11_8",-0.002871279,0.007357535,"France",2018,"Contemp","","C"
"64","Paris_11_9",-0.000760941,-0.007544681,"France",2018,"Contemp","","C"
"65","Paris_13_13",-0.008174093,0.006521475,"France",2018,"Contemp","","C"
"66","Paris_15_11",-0.013913274,0.01052053,"France",2018,"Contemp","","C"
"67","Paris_15_12",-0.01358569,0.010500502,"France",2018,"Contemp","","C"
"68","Paris_15_13",-0.017564532,0.00551908,"France",2018,"Contemp","","C"
"69","Paris_15_3",-0.001712043,0.004838473,"France",2018,"Contemp","","C"
"70","Paris_15_5",-0.012281519,0.007606595,"France",2018,"Contemp","","C"
"71","Paris_15_8",-0.002192232,0.004822772,"France",2018,"Contemp","","C"
"72","Paris_15_9",-0.009945024,0.002635582,"France",2018,"Contemp","","C"
"73","Paris_2_2",-0.013417147,-0.001728563,"France",2018,"Contemp","","C"
