"","Year","N","Heterozygosity","sd","se","ci"
"1",1838,1,0.002095231,NA,NA,NA
"2",1839,1,0.002362585,NA,NA,NA
"3",1854,1,0.002724665,NA,NA,NA
"4",1863,1,0.004408661,NA,NA,NA
"5",1867,1,0.003699624,NA,NA,NA
"6",1870,1,0.002620415,NA,NA,NA
"7",1875,2,0.001994703,0.000421336646637816,0.00029793,0.00378555957704853
"8",1877,1,0.002771618,NA,NA,NA
"9",1879,1,0.002228251,NA,NA,NA
"10",1882,1,0.001310131,NA,NA,NA
"11",1883,1,0.00280076,NA,NA,NA
"12",1884,1,0.003508747,NA,NA,NA
"13",1885,1,0.002675715,NA,NA,NA
"14",1886,1,0.002280835,NA,NA,NA
"15",1887,1,0.003660542,NA,NA,NA
"16",1889,3,0.00328091833333333,0.000316165023929487,0.000182537961674034,0.000785397459079685
"17",1891,1,0.003159226,NA,NA,NA
"18",1892,2,0.0019052145,0.000167470462949441,0.0001184195,0.00150466241175544
"19",1893,1,0.002202933,NA,NA,NA
"20",1894,2,0.0030969105,0.000208608521265312,0.0001475085,0.00187427320132603
"21",1896,1,0.003259078,NA,NA,NA
"22",1897,2,0.0031243865,0.000376699116861853,0.0002663665,0.00338450728385827
"23",1898,2,0.003309877,0.000310958692308159,0.000219881,0.00279385300359483
"24",1899,2,0.00363005,0.000718113605342497,0.000507783,0.00645199475954899
"25",1902,1,0.004167635,NA,NA,NA
"26",1903,1,0.001129439,NA,NA,NA
"27",1904,2,0.003309151,0.000104294007584329,7.37470000000001e-05,0.000937044480678676
"28",1906,2,0.003028259,2.32722983824116e-05,1.6456e-05,0.00020909330513849
"29",1908,1,0.00252134,NA,NA,NA
"30",1909,1,0.002518719,NA,NA,NA
"31",1910,1,0.002564091,NA,NA,NA
"32",1914,3,0.00313461233333333,0.000145337706209825,8.39107638036451e-05,0.000361038876935116
"33",1915,1,0.004121331,NA,NA,NA
"34",1916,2,0.0032398695,0.000426182449409288,0.0003013565,0.00382909738757703
