"","Samp","Year","Region","N_S","lat","lon","Heterozygosity"
"486","BHSC_6830792",2011,"North","N",47.52317095,-91.4088486,0.003701435
"487","GA_042908",2003,"South","S",31.21324181,-81.49369759,0.002808109
"488","GA_042925",1909,"South","S",33.95116875,-83.36732908,0.002518719
"489","GA_042926",1954,"South","S",31.48380621,-81.37556637,0.002828546
"490","GA_042931",1995,"South","S",33.77154687,-84.22643242,0.004137834
"491","GA_042933",1992,"South","S",32.01322434,-81.44247222,0.003352025
"492","GA_042934",1995,"South","S",34.88172462,-83.40207648,0.003431388
"493","GA_042936",1987,"South","S",33.28785074,-83.95716951,0.003348874
"494","GA_260302",2016,"South","S",34.35413701,-83.49738017,0.003329793
"495","GA_42909",2007,"","S",NA,NA,0.003096401
"496","LA_1",1972,"South","S",30.85334331,-90.04052688,0.002699034
"497","LA_2",1989,"South","S",30.2035445,-90.91129129,0.00337363
"498","LA_3",1983,"South","S",32.8318885,-92.37480557,0.002717851
"509","MU_1827771",1965,"North","N",41.33445188,-93.09943715,0.003041217
"515","TRH4_10",1971,"North","N",40.45623124,-90.67787766,0.003684999
"516","TRH4_11",1886,"North","N",40.78806359,-89.75998004,0.002280835
"517","TRH4_12",1875,"North","N",40.78806359,-89.75998004,0.002292633
"518","TRH4_13",NA,"North","N",40.78806359,-89.75998004,0.003299301
"520","TRH4_15",1959,"North","N",40.01035275,-88.59108665,0.003329239
"521","TRH4_16",1963,"South","S",30.2035445,-90.91129129,0.003425891
"522","TRH4_17",1949,"North","N",41.05806562,-75.33951546,0.003516878
"523","TRH4_18",1958,"North","N",40.04243843,-76.24770427,0.00315851
"524","TRH4_19",1945,"North","N",40.33694829,-75.10687343,0.002136961
"526","TRH4_20",1945,"North","N",40.36723146,-76.45771276,0.003326303
"527","TRH4_22",1952,"North","N",40.53106491,-77.40216267,0.004212008
"528","TRH4_23",1945,"North","N",41.44615912,-76.51214129,0.00288544
"529","TRH4_24",1908,"South","S",30.65287053,-92.82787923,0.00252134
"530","TRH4_25",1961,"North","N",40.41544054,-76.7794747,0.001131695
"531","TRH4_26",1959,"North","N",41.78866771,-76.51545255,0.001397719
"532","TRH4_27",1939,"North","N",40.00655527,-78.49031712,0.00211555
"533","TRH4_28",1951,"North","N",40.91818292,-75.70882161,0.00234766
"536","TRH4_31",1938,"North","N",41.34338187,-77.06450625,0.004081115
"537","TRH4_32",1987,"South","S",30.29053336,-92.41197912,0.004434883
"538","TRH4_33",1982,"North","N",45.15177086,-86.03849605,0.003688024
"539","TRH4_34",1951,"North","N",46.32817843,-84.52936792,0.003032663
"540","TRH4_35",1957,"North","N",43.64060156,-84.84679655,0.003156418
"541","TRH4_36",1973,"North","N",46.94826921,-86.57216017,0.003502586
"542","TRH4_37",1959,"North","N",46.20866709,-88.53055287,0.003601686
"543","TRH4_38",1979,"North","N",45.03110751,-83.16520109,0.003303035
"544","TRH4_39",1893,"North","N",43.03215631,-85.54929628,0.002202933
"545","TRH4_3",1899,"North","N",40.140089,-88.19917067,0.004137833
"546","TRH4_40",1944,"South","S",29.33744189,-90.83763991,0.004426651
"547","TRH4_42",1915,"North","N",42.25322535,-83.83877051,0.004121331
"548","TRH4_43",1867,"North","N",43.03545269,-73.09296062,0.003699624
"550","TRH4_45",1934,"North","N",40.04243843,-76.24770427,0.003418612
"551","TRH4_47",1961,"North","N",40.21082611,-75.36729364,0.003650336
"552","TRH4_48",1988,"South","S",31.19862028,-92.53319963,0.003421918
"553","TRH4_4",1916,"North","N",40.40377473,-91.16469555,0.002938513
"554","TRH4_50",1922,"North","N",40.33694829,-75.10687343,0.003047383
"555","TRH4_51",1885,"North","N",40.33694829,-75.10687343,0.002675715
"558","TRH4_56",1943,"South","S",30.85334331,-90.04052688,0.003464265
"566","TRH4_64",1992,"South","S",32.8318885,-92.37480557,0.002854026
"568","TRH4_66",NA,"South","S",30.1290721,-91.60829751,0.002950485
"569","TRH4_67",NA,"South","S",33.76995386,-89.80200615,0.003419469
"570","TRH4_69",1936,"South","S",29.33744189,-90.83763991,0.003699555
"571","TRH4_70",1992,"South","S",29.33744189,-90.83763991,0.00344861
"572","TRH4_71",1910,"South","S",29.33744189,-90.83763991,0.002564091
"573","TRH4_72",1975,"South","S",30.62665232,-90.40568053,0.003207415
"574","TRH4_73",1975,"South","S",30.29053336,-92.41197912,0.003452141
"575","TRH4_74",1973,"South","S",30.40784295,-89.95463322,0.003638136
"576","TRH4_75",1966,"South","S",30.40784295,-89.95463322,0.003156651
"577","TRH4_76",1975,"South","S",29.67745858,-90.0977654,0.004713277
"578","TRH4_77",1975,"South","S",32.58019418,-93.88239685,0.002585512
"579","TRH4_78",2006,"South","S",30.53823959,-91.09561662,0.00353708
"580","TRH4_79",2001,"South","S",29.90552827,-90.35822047,0.002745481
"582","TRH4_80",1975,"South","S",30.2292239,-93.35794516,0.003232962
"583","TRH4_81",1975,"South","S",29.50033224,-90.40259453,0.003048135
"584","TRH4_82",1960,"South","S",29.67745858,-90.0977654,0.001879104
"585","TRH4_83",2014,"South","S",29.67745858,-90.0977654,0.003517067
"586","TRH4_84",1938,"North","N",44.00566177,-72.37682161,0.003327535
"587","TRH4_8",1970,"South","S",32.67893103,-93.60504592,0.003815445
"588","TRH4_9",1897,"North","N",40.140089,-88.19917067,0.003390753
"589","TRHS100",1947,"North","N",41.40414593,-89.52865576,0.003389391
"593","TRHS104",1931,"South","S",30.0686437,-89.92812792,0.001308278
"594","TRHS105",1854,"North","N",42.37067661,-73.20641229,0.002724665
"595","TRHS106",1992,"North","N",44.68361117,-84.61033711,0.003673808
"596","TRHS107",2000,"North","N",43.64076819,-85.32463355,0.002892447
"597","TRHS109",1916,"North","N",42.28474548,-83.26113287,0.003541226
"598","TRHS110",1914,"North","N",42.93112197,-82.66436772,0.003291263
"599","TRHS111",1926,"North","N",47.7152823,-88.25215081,0.003138109
"600","TRHS112",1978,"South","S",31.19862028,-92.53319963,0.003195982
"601","TRHS113",1939,"North","N",40.5672969,-74.91224777,0.002771072
"602","TRHS114",1934,"North","N",40.5672969,-74.91224777,0.003493729
"603","TRHS115",1951,"North","N",40.28343742,-74.70175241,0.003444426
"604","TRHS116",1932,"North","N",40.28751735,-74.15820239,0.003589792
"608","TRHS120",1975,"South","S",32.39681418,-81.74317814,0.003185148
"609","TRHS121",1969,"South","S",33.79553898,-90.88040091,0.002722694
"610","TRHS122",1988,"South","S",33.65566661,-88.78157617,0.003147609
"611","TRHS123",1998,"South","S",31.17439653,-90.80443149,0.00282264
"614","TRHS127",1988,"North","N",42.04256636,-89.32072666,0.003862116
"615","TRHS128",1967,"South","S",32.47831315,-92.15487013,0.003067677
"616","TRHS129",1954,"North","N",40.28751735,-74.15820239,0.003202968
"618","TRHS131",1914,"North","N",41.13929693,-74.69080068,0.003004148
"621","TRHS134",1952,"North","N",42.03624149,-93.46504477,0.003192829
"622","TRHS135",1936,"North","N",47.58986137,-92.46146571,0.003062964
"623","TRHS136",1971,"South","S",32.36440099,-91.2425797,0.003013037
"624","TRHS137",1964,"South","S",34.35675781,-89.48491927,0.003166587
"625","TRHS138",1976,"South","S",34.35675781,-89.48491927,0.002987011
"626","TRHS139",1903,"South","S",30.46341479,-91.31274667,0.001129439
"627","TRHS140",1975,"South","S",33.2836981,-90.94745464,0.002852092
"628","TRHS141",1999,"South","S",33.5505241,-90.30106469,0.003027743
"631","TRHS144",1990,"South","S",30.44013624,-90.72790744,0.002805239
"632","TRHS145",1939,"North","N",41.34400278,-88.88593793,0.002478544
"633","TRHS146",1949,"North","N",40.47277996,-90.20748188,0.002992566
"638","TRHS151",1991,"North","N",40.59716517,-88.22327385,0.002909175
"639","TRHS152",1974,"South","S",29.90472573,-89.30412736,0.00286437
"640","TRHS153",1934,"North","N",43.01821454,-88.30450827,0.002572471
"641","TRHS154",1914,"North","N",43.64685671,-84.38810911,0.003108426
"644","TRHS159",1870,"North","N",42.45201868,-76.47365413,0.002620415
"645","TRHS160",1957,"South","S",30.12646024,-90.47088359,0.00279769
"652","TRHS168",1933,"South","S",30.0686437,-89.92812792,0.00198513
"653","TRHS171",1956,"South","S",33.26606363,-81.43502277,0.002934003
"654","TRHS172",1957,"South","S",33.214771,-81.05423377,0.003291314
"655","TRHS173",1964,"South","S",29.80938932,-92.30428295,0.003177392
"658","TRHS176",1972,"South","S",29.90552827,-90.35822047,0.001105939
"660","TRHS178",2009,"North","N",41.74492106,-77.89581407,0.002911383
"661","TRHS179",2002,"North","N",40.99121436,-80.33470707,0.003749851
"662","TRHS180",1994,"North","N",40.65205164,-79.08754709,0.002715795
"663","TRHS181",1993,"North","N",40.65205164,-79.08754709,0.003076883
"665","TRHS183",1977,"North","N",42.34015297,-72.66378449,0.002882615
"666","TRHS184",1975,"South","S",30.0686437,-89.92812792,0.003114103
"668","TRHS186",1906,"North","N",46.66287797,-87.5735241,0.003011803
"669","TRHS187",1896,"North","N",42.93112197,-82.66436772,0.003259078
"670","TRHS188",1930,"North","N",47.7152823,-88.25215081,0.002978955
"671","TRHS189",1984,"North","N",44.64458747,-86.3006262,0.003649732
"672","TRHS190",1958,"North","N",42.6727951,-82.91017526,0.003080814
