"","stdAC","stdLI","Year","Region","Samp","lat","lon"
"488",1.14e-06,2.86e-06,1909,"South","GA_042925",33.95116875,-83.36732908
"489",2.86e-06,2.38e-06,1954,"South","GA_042926",31.48380621,-81.37556637
"490",7.32e-07,2.25e-06,1995,"South","GA_042931",33.77154687,-84.22643242
"491",1.75e-06,6.36e-06,1992,"South","GA_042933",32.01322434,-81.44247222
"492",2.1e-06,4.35e-06,1995,"South","GA_042934",34.88172462,-83.40207648
"493",2.83e-07,3.12e-06,1987,"South","GA_042936",33.28785074,-83.95716951
"496",2.13e-06,2.96e-06,1972,"South","LA_1",30.85334331,-90.04052688
"497",1.56e-06,4.1e-06,1989,"South","LA_2",30.2035445,-90.91129129
"498",1.4e-06,2.35e-06,1983,"South","LA_3",32.8318885,-92.37480557
"499",2.29e-06,9.81e-07,1956,"Middle","MO_3179229",39.49546503,-92.00073525
"500",8.85e-07,6.32e-07,1986,"Middle","MO_3525612",38.44086709,-91.50793343
"501",0,3.73e-07,1989,"Middle","MO_3896053",37.50230058,-94.34711077
"502",2.24e-06,4.92e-06,1942,"Middle","MO_5439107",38.19625586,-83.42107541
"503",1.16e-06,1.06e-07,1982,"Middle","MO_5439112",38.31817284,-83.04953383
"508",2.54e-06,3.39e-07,1996,"","MU_04957659",NA,NA
"509",2.48e-06,7.27e-07,1965,"North","MU_1827771",41.33445188,-93.09943715
"510",7.83e-07,2.54e-06,1964,"Middle","MU_1912368",38.47032103,-89.92839902
"511",6.23e-07,1.56e-06,1989,"","MU_3859086",NA,NA
"512",3.11e-07,4.67e-07,1992,"","MU_4232901",NA,NA
"513",8.86e-07,9.84e-08,1929,"","MU_985453",NA,NA
"515",0,6.06e-07,1971,"North","TRH4_10",40.45623124,-90.67787766
"516",0,1.18e-06,1886,"North","TRH4_11",40.78806359,-89.75998004
"517",0,1.61e-07,1875,"North","TRH4_12",40.78806359,-89.75998004
"NA",NA,NA,NA,NA,NA,NA,NA
"519",0,6.51e-07,1869,"Middle","TRH4_14",38.0837368,-89.36702108
"520",0,2.26e-06,1959,"North","TRH4_15",40.01035275,-88.59108665
"521",2.41e-07,3.38e-06,1963,"South","TRH4_16",30.2035445,-90.91129129
"522",1.21e-06,6.04e-07,1949,"North","TRH4_17",41.05806562,-75.33951546
"523",1.2e-06,5.57e-07,1958,"North","TRH4_18",40.04243843,-76.24770427
"524",1.05e-06,1.05e-06,1945,"North","TRH4_19",40.33694829,-75.10687343
"525",8.01e-08,3.41e-07,1967,"Middle","TRH4_1",35.44763603,-93.03415428
"526",1.4e-06,3.99e-07,1945,"North","TRH4_20",40.36723146,-76.45771276
"527",1.76e-06,2.2e-07,1952,"North","TRH4_22",40.53106491,-77.40216267
"528",1.46e-06,9.74e-08,1945,"North","TRH4_23",41.44615912,-76.51214129
"529",1.41e-06,6.43e-06,1908,"South","TRH4_24",30.65287053,-92.82787923
"530",3.07e-07,3.07e-07,1961,"North","TRH4_25",40.41544054,-76.7794747
"531",0,8.39e-07,1959,"North","TRH4_26",41.78866771,-76.51545255
"532",1.17e-06,3.35e-07,1939,"North","TRH4_27",40.00655527,-78.49031712
"533",2.46e-07,3.69e-07,1951,"North","TRH4_28",40.91818292,-75.70882161
