stdAC,Region,Predictors,term,estimate,std.error,statistic,p.value
,All,Year * lat,(Intercept),-7.33E-05,2.68E-05,-2.739408946,0.006463045
,All,Year * lat,Year,3.83E-08,1.36E-08,2.804083746,0.005321093
,All,Year * lat,lat,1.83E-06,6.71E-07,2.723374894,0.006778438
,All,Year * lat,Year:lat,-9.41E-10,3.43E-10,-2.747649275,0.006306168
,North,Year,(Intercept),2.87E-06,4.33E-06,0.663882946,0.507738977
,North,Year,Year,-9.32E-10,2.23E-09,-0.417851011,0.676626973
,South,Year,(Intercept),-7.39E-06,7.09E-06,-1.042030421,0.299885442
,South,Year,Year,4.42E-09,3.61E-09,1.224767834,0.223511566
,,,,,,,
stdLI,Region,Predictors,term,estimate,std.error,statistic,p.value
,All,Year * lat,(Intercept),-0.000137732,4.23E-05,-3.25476375,0.001243045
,All,Year * lat,Year,7.41E-08,2.16E-08,3.434258594,0.000663834
,All,Year * lat,lat,3.19E-06,1.06E-06,3.000978354,0.002879846
,All,Year * lat,Year:lat,-1.70E-09,5.42E-10,-3.14164082,0.001820015
,North,Year,(Intercept),-3.15E-06,5.02E-06,-0.627557041,0.531205826
,North,Year,Year,2.22E-09,2.59E-09,0.856608481,0.392966871
,South,Year,(Intercept),-3.99E-05,1.44E-05,-2.766806167,0.006733328
,South,Year,Year,2.20E-08,7.34E-09,2.991604793,0.003487445
