Samp,Modified.Reason.,Type,number.of.reads,number.of.mapped.reads,percent_reads_aligned,std_numberofreads,number.of.supplementary.alignments,number.of.secondary.alignments,number.of.duplicated.reads,mean.mapping.quality,GC.percentage,general.error.rate,mean.coverageData,std.coverageData,Country,Year,lat,lon,Herbarium,CatalogNumber,State,K3Q2S1964_LD,K3Q1S1964_LD,K3Q3S1964_LD,MaxK3_LD,PC_LD1,PC_LD2,PC_LD3,PC_LD4,PC_LD5,PC_LD6,PC_LD7,PC_LD8,PC_LD9,PC_LD10,RANGE,TimeBin,PCOASamp,PcoaGroups,PcoaGroupRegion,X,Region,PcoaYR,N_S,SampleN,H_C,Heterozygosity,NREAD,COVERAGE,AC_COVERAGE,AC_COUNT,AC_2_COVERAGE,AC_2_COUNT,LI_COVERAGE,LI_COUNT,stdAC,stdLI,geno_Hb7a1,geno_Hb7a2,geno_Hb7b,geno_Hb9,geno_Hb13
Antwerp_1_10,No,Contemporary,5743378,5371930,0.935325866,-0.324122807,110129,0,844252,36.6512,38%,0.0141,0.7646,9.5432,Belgium,2018,51.219,4.402,,,NA,0.41166024,2.29E-06,0.588337472,0.588337472,-0.020355815,-0.022329466,0.022404918,-0.028040793,0.022324616,0.002107348,0.015842268,-0.021214101,0.016453977,-0.011828254,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_1_11,No,Contemporary,8731248,8455046,0.968366263,0.150746317,187639,0,1204327,36.4552,38.11%,0.0148,1.2118,6.8966,Belgium,2018,51.219,4.402,,,NA,0.3192861,0.089829,0.5908849,0.5908849,-0.021167703,-0.009698173,0.041677432,-0.031655192,0.023293479,-0.006892429,0.018668932,-0.028459173,0.014466897,0.014298782,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_1_13,No,Contemporary,8950864,8632687,0.964452929,0.185650398,113179,0,820362,31.4141,42.81%,0.0156,1.0175,5.2793,Belgium,2018,51.219,4.402,,,NA,0.592646242,0.028021175,0.379332584,0.592646242,-0.002221528,-0.026587074,-0.013838074,-0.012672977,0.012574565,-0.053831607,-0.021902195,-0.000434251,0.037200734,0.020299437,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_1_14,Yes(LowCoverage),Contemporary,1171796,1040057,0.887575141,-1.05069496,17943,0,79282,31.4572,40.61%,0.016,0.1315,0.6544,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_1_17,No,Contemporary,8022000,7151313,0.891462603,0.038023883,135617,0,661742,34.8752,39.91%,0.0165,0.9715,6.5261,Belgium,2018,51.219,4.402,,,NA,0.484240376,0.003597091,0.512162532,0.512162532,-0.013595847,-0.025408165,0.010975973,-0.028650524,0.028848779,-0.026675329,-0.002862895,-0.015467684,0.020902993,-0.007846749,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_1_19,Yes(LowCoverage),Contemporary,174978,164761,0.941609802,-1.209121562,3089,0,3067,33.8264,39.74%,0.0168,0.0219,0.222,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_1_2,No,Contemporary,4581128,4099980,0.894971719,-0.508841901,79402,0,342485,33.4195,40.19%,0.0166,0.5716,2.2922,Belgium,2018,51.219,4.402,,,NA,0.299265487,0.223899751,0.476834761,0.476834761,-0.010051324,0.001163286,0.012902691,-0.01378506,0.012809467,-0.008130706,-0.017674192,-0.022927769,0.013321993,-0.002315453,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_1_5,No,Contemporary,7099344,6616730,0.932019916,-0.108615979,117028,0,587677,34.0552,40.62%,0.0165,0.864,3.951,Belgium,2018,51.219,4.402,,,NA,0.56463403,0.011921508,0.423444462,0.56463403,-0.006500481,-0.028386335,-0.001282616,-0.01789179,0.025752667,-0.034161524,-0.012611068,-0.009600446,0.044877078,0.008128034,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_1_7,No,Contemporary,9573860,9264527,0.967689835,0.2846646,144749,0,802667,30.8341,41.79%,0.0161,1.1691,4.4123,Belgium,2018,51.219,4.402,,,NA,0.516041041,0.007845048,0.476113911,0.516041041,-0.010322186,-0.025881382,-0.012478277,-0.019539254,0.015935316,-0.045329206,-0.021226994,-0.003095454,0.046075373,0.017160777,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_1_9,No,Contemporary,5791752,5476833,0.945626298,-0.316434615,108627,0,510842,34.6156,39.81%,0.0168,0.762,3.2858,Belgium,2018,51.219,4.402,,,NA,0.430068702,0.066849179,0.503082119,0.503082119,-0.012797928,-0.016979414,0.014367305,-0.016414958,0.019572566,-0.029860858,-0.006749728,-0.012642916,0.015072041,-0.001041893,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_2_11,No,Contemporary,5135674,4743048,0.923549275,-0.420706616,97711,0,425178,33.5879,38.99%,0.017,0.6349,2.0269,Belgium,2018,51.219,4.402,,,NA,0.535162099,0.001845362,0.462992539,0.535162099,-0.010249978,-0.027370302,0.002127613,-0.015009748,0.022304814,-0.02786221,-0.013772744,-0.004688674,0.018446734,-0.008245949,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_2_12,Yes(LowCoverage),Contemporary,1775748,1626122,0.91573917,-0.954707465,30556,0,148529,35.3135,39.50%,0.0157,0.2205,2.5609,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_2_13,No,Contemporary,8860252,8416893,0.949960904,0.171249222,146946,0,770113,34.2382,39.18%,0.0165,1.0693,3.7889,Belgium,2018,51.219,4.402,,,NA,0.589389218,0.045502046,0.365108736,0.589389218,-0.000957649,-0.024364828,0.003999378,-0.022672614,0.028146647,-0.052111086,-0.011596596,0.002429647,0.031202177,0.009578708,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_2_15,Yes(LowCoverage),Contemporary,3571154,3043212,0.852164874,-0.669359416,54785,0,303108,35.3217,40.49%,0.0154,0.4393,6.3869,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_2_3,No,Contemporary,6644088,6310801,0.949837058,-0.180970873,128963,0,853774,34.9325,38.65%,0.0144,0.8666,4.6323,Belgium,2018,51.219,4.402,,,NA,0.297854626,0.169075603,0.533069771,0.533069771,-0.014865688,-0.001501224,0.018629006,-0.015741826,-0.001696494,-0.011413567,-0.004571785,-0.029251142,0.016444455,-0.001130313,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_2_4,No,Contemporary,4963438,4257404,0.857753033,-0.448080484,85143,0,363768,32.0141,40.23%,0.0165,0.5668,2.5065,Belgium,2018,51.219,4.402,,,NA,0.575871783,0.004869382,0.419258835,0.575871783,-0.004943735,-0.028096755,0.003359147,-0.01513155,0.023002588,-0.019425131,-0.008335648,-0.010223854,0.018728413,-0.023531318,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_2_5,Yes(LowCoverage),Contemporary,198084,184932,0.933603926,-1.205449272,3521,0,4227,33.9497,39.25%,0.0165,0.0245,0.2285,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_2_6,No,Contemporary,14096334,13106001,0.929745351,1.003431905,262725,0,1209664,34.4848,38.41%,0.0172,1.6674,4.2873,Belgium,2018,51.219,4.402,,,NA,0.598805298,4.77E-08,0.401194654,0.598805298,-0.004938555,-0.030921532,0.0027648,-0.031197185,0.043408639,-0.063299467,-0.022474945,-0.008906342,0.05020498,0.010841719,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_2_7,No,Contemporary,6919768,6107132,0.882563115,-0.13715641,128062,0,831194,34.9045,38.60%,0.0149,0.8401,2.9973,Belgium,2018,51.219,4.402,,,NA,0.475171672,5.65E-09,0.524828322,0.524828322,-0.015200668,-0.026361449,0.019651298,-0.028653616,0.029889838,-0.012974571,0.006849198,-0.022208801,0.024495657,-0.010647416,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_2_9,No,Contemporary,6555192,5638779,0.860200433,-0.195099321,110041,0,564080,35.8555,38.87%,0.016,0.7636,8.9371,Belgium,2018,51.219,4.402,,,NA,0.506474875,1.00E-09,0.493525124,0.506474875,-0.013051225,-0.026421004,0.009038397,-0.020277226,0.028732912,-0.017157645,-0.003917623,-0.012898047,0.013329425,-0.01055947,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_3_1,No,Contemporary,5051126,3997849,0.791476792,-0.434144027,79133,0,555916,35.764,38.29%,0.0145,0.5691,6.3053,Belgium,2018,51.219,4.402,,,NA,0.399967449,0.008668641,0.59136391,0.59136391,-0.020405042,-0.020073057,0.018001335,-0.019136347,0.015183155,0.006402553,0.007028908,-0.015988432,0.01196408,-0.009110569,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_3_10,No,Contemporary,5270896,4382136,0.831383507,-0.39921547,68818,0,548513,34.8447,40.91%,0.0139,0.579,13.9821,Belgium,2018,51.219,4.402,,,NA,0.552460743,0.005417544,0.442121713,0.552460743,-0.007291095,-0.02737323,-0.001202474,-0.01125006,0.017634826,-0.014967435,-0.012694404,-0.010869067,0.01361662,-0.006046877,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
